feature,segment,count,rank_corr,monotonicity_ratio,stability_classification,bucket_0_avg_r,bucket_0_count,bucket_1_avg_r,bucket_1_count,bucket_2_avg_r,bucket_2_count,bucket_3_avg_r,bucket_3_count,bucket_4_avg_r,bucket_4_count
touch_count,eql,233,0.050548104930312907,,,0.15516437182708398,233.0,,,,,,,,
touch_count,first_half,233,0.0920419451893008,,,0.05861731792418751,233.0,,,,,,,,
touch_count,second_half,233,-0.045869172502546865,,,0.16264306019863906,233.0,,,,,,,,
structural_score,overall,466,-0.03526736017320742,0.5,unstable,0.24574758820655196,94.0,0.12174913134894357,93.0,0.14171247813919888,93.0,-0.046126883271396905,93.0,0.08861575562414374,93.0
structural_score,eqh,233,-0.08341912982211737,0.25,,0.02401381044200158,47.0,0.24001157123648004,46.0,0.1049169648675443,47.0,0.09100141981911748,46.0,-0.12523350130208769,47.0
structural_score,eql,233,0.007972634011280398,0.25,,0.3582289840561199,47.0,0.2654150703040735,46.0,-0.058037763946719015,47.0,-0.09049020613421555,46.0,0.2978248412501118,47.0
structural_score,first_half,233,0.005862417056078173,0.5,,0.12580164950807993,47.0,0.00582740795960929,46.0,0.0676533318652517,47.0,0.04348959243301217,46.0,0.048869551781457764,47.0
structural_score,second_half,233,-0.07335187602407355,0.5,,0.23348416117275822,47.0,0.31399306420619194,46.0,0.270580921022108,47.0,-0.0908274085163362,46.0,0.08381178726363443,47.0
span,overall,466,0.11002841855936621,0.75,stable_positive,0.11387524973382974,103.0,0.13651454091929763,87.0,-0.21527772262734157,93.0,0.13883982797309558,93.0,0.38951640581000124,90.0
span,eqh,233,0.12734182247691955,0.75,,-0.022805572659083943,51.0,0.22733194381266789,46.0,-0.15805757562601502,46.0,-0.09907328167507823,45.0,0.3963362313625286,45.0
span,eql,233,0.09774539691417478,0.5,,0.31792476842481404,47.0,-0.013711598764616091,46.0,-0.1558219278037111,49.0,0.2664238350806994,46.0,0.38269658025747383,45.0
span,first_half,233,0.1929033915001406,0.75,,-0.07901243486359712,47.0,-0.017283329688414423,46.0,-0.09389976797945039,49.0,0.03716486042749067,45.0,0.4585896215727785,46.0
span,second_half,233,0.02429125727376812,0.5,,0.30489026891619897,52.0,0.2724497645150476,45.0,-0.26380534642516695,45.0,0.13880726946862107,44.0,0.33074511429737424,47.0
distance_atr_at_detect,overall,466,0.05262898583864583,0.5,stable_positive,0.21722643920094495,94.0,-0.0014520631141283148,93.0,0.08464709810775714,93.0,-0.112788048047971,93.0,0.36437132292240415,93.0
distance_atr_at_detect,eqh,233,0.07101451304270705,0.5,,0.20284000614553513,47.0,-0.096472542833343,46.0,0.03651895321695307,47.0,-0.1469328829263542,46.0,0.3265350630173861,47.0
distance_atr_at_detect,eql,233,0.034519008369650744,0.25,,0.19595685787852282,47.0,0.09709880806914943,46.0,0.07847465797279439,47.0,0.027154068468507556,46.0,0.3731784057439667,47.0
distance_atr_at_detect,first_half,233,0.07753419800533677,0.5,,0.16193844829454795,47.0,-0.1226874276593008,46.0,0.15383510181123017,47.0,-0.3113392440587795,46.0,0.3996107472424642,47.0
distance_atr_at_detect,second_half,233,0.03916573274511706,0.5,,0.09676996656885462,47.0,0.18344731380711152,46.0,0.0412039511850683,47.0,0.017477995538941936,46.0,0.4716700991900013,47.0
trend_aligned,overall,466,-0.009250851511804176,,unstable,0.11063018906141328,466.0,,,,,,,,
trend_aligned,eqh,233,0.05307400835323433,,,0.06609600629574258,233.0,,,,,,,,
trend_aligned,eql,233,-0.07009040567158988,,,0.15516437182708398,233.0,,,,,,,,
trend_aligned,first_half,233,-0.032203935592774784,,,0.05861731792418751,233.0,,,,,,,,
trend_aligned,second_half,233,0.00588341131021847,,,0.16264306019863906,233.0,,,,,,,,
prior_bos_distance_atr,overall,465,-0.06409950207762247,0.25,stable_negative,0.24045422545072323,93.0,0.10130889788542473,93.0,0.26412147053041457,93.0,0.0579361402777049,93.0,-0.12375567347973641,93.0
prior_bos_distance_atr,eqh,232,-0.13882680871589387,0.5,,0.3305861189691037,47.0,0.2354150666810133,46.0,-0.1599773431149046,46.0,-0.10812729069578753,46.0,0.0008281809044293173,47.0
prior_bos_distance_atr,eql,233,0.01645361875654254,0.25,,0.16261947747271785,47.0,-0.010438373260840276,46.0,0.432126915091133,47.0,0.15845511095703604,46.0,0.029605281940097265,47.0
prior_bos_distance_atr,first_half,232,-0.08807725782643262,0.5,,0.024639825234890816,47.0,0.10402478388861482,46.0,0.39232841353539216,46.0,0.015877060552168924,46.0,-0.2636265114345842,47.0
prior_bos_distance_atr,second_half,233,-0.043784989594895574,0.5,,0.44536122754756435,47.0,0.05255430765125918,46.0,0.17951096370969902,47.0,0.016893621936990854,46.0,0.11345181438578762,47.0
prior_choch_distance_atr,overall,464,-0.02368556894386125,0.5,stable_negative,0.1264333689420539,93.0,0.09053884073899356,93.0,0.1095786877019814,92.0,0.248480338047976,93.0,-0.04909924346195124,93.0
prior_choch_distance_atr,eqh,232,-0.052257324138171704,0.25,,0.2703735549132389,47.0,-0.007820605290584492,46.0,-0.16464283996798965,46.0,0.3208814378301489,46.0,-0.1162134624068901,47.0
prior_choch_distance_atr,eql,232,0.0033994682873380493,0.75,,0.01587350541918618,47.0,0.19129153509999341,46.0,0.3595379046840974,46.0,0.03477115266089512,46.0,0.1499077138757038,47.0
prior_choch_distance_atr,first_half,231,-0.03567026376375316,0.5,,-0.01653815215665511,47.0,0.14614712662302273,46.0,0.010071942877763715,46.0,0.21652141046321507,46.0,-0.11875011712704697,46.0
prior_choch_distance_atr,second_half,233,-0.0025380583179964926,0.5,,0.284593327032899,47.0,0.018631618619454393,46.0,0.11500738310226692,47.0,0.24810421446473926,46.0,0.14563300697994017,47.0
swing_magnitude_atr,overall,466,0.09801654851381926,0.5,unstable,-0.08227647206943237,94.0,0.057687529326733,93.0,0.04572013730582106,93.0,0.3117285024605159,93.0,0.2223655134568788,93.0
swing_magnitude_atr,eqh,233,0.06603728697627853,0.25,,0.018595601495096467,47.0,0.011576982939832885,46.0,-0.16158504950722383,47.0,0.5177576259640323,46.0,-0.04741528693829338,47.0
swing_magnitude_atr,eql,233,0.1230074212806244,0.75,,-0.2242676003643581,47.0,0.22278478345321842,46.0,0.30347231408256564,47.0,-0.0316791078875274,46.0,0.5029748088283622,47.0
swing_magnitude_atr,first_half,233,0.23095235845081885,1.0,,-0.3545623624405843,47.0,-0.13949619848193817,46.0,0.11547405710027729,47.0,0.1953059352563578,46.0,0.47505824544057074,47.0
swing_magnitude_atr,second_half,233,-0.03449569615102841,0.5,,0.12156068043392085,47.0,0.35786948379608935,46.0,-0.05276136306729948,47.0,0.542496146703237,46.0,-0.14371391261526217,47.0
