segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero
2-touch,touch_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,True
2-touch,width_component,current,459,-0.016855746123986274,-0.1634120259379865,0.2480822045026349,0.4434782608695652,0.43478260869565216,0.47126436781609193,0.04129644693223299,-0.066566491801077,0.49056603773584906,0.4032258064516129,-0.02393583628596486,-0.031533768154798546,-0.02114735991586917,-0.027786106946526723,False
2-touch,width_component,inverted,459,0.25002337108375494,0.2480822045026349,-0.1634120259379865,0.46956521739130436,0.47126436781609193,0.43478260869565216,0.039315540202163664,0.46442783057730386,0.4482758620689655,0.49122807017543857,0.02393583628596486,0.031533768154798546,0.02114735991586917,0.034782608695652195,False
2-touch,width_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False
2-touch,active_age_component,current,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,True
2-touch,active_age_component,inverted,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,True
2-touch,active_age_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,True
2-touch,formation_delay_component,current,459,0.045262133444792664,0.05860642625745541,0.5248887706874189,0.4262295081967213,0.4,0.574468085106383,-0.09499037662321826,0.20519920632936656,0.38461538461538464,0.47368421052631576,-0.10690911764617164,-0.12820942946770728,-0.09082786076161556,-0.14823857690966175,False
2-touch,formation_delay_component,inverted,459,0.37066234422899885,0.5248887706874189,0.05860642625745541,0.5847457627118644,0.574468085106383,0.4,0.3397662938632718,0.40486868570533946,0.6290322580645161,0.5357142857142857,0.10690911764617164,0.12820942946770728,0.09082786076161556,0.18474576271186438,False
2-touch,formation_delay_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False
2-touch,structural_component,current,459,0.08644405841436312,0.1917255592770172,-0.13537993468510476,0.48695652173913045,0.4782608695652174,0.32608695652173914,-0.05960211207470898,0.19878726648288012,0.4,0.5538461538461539,-0.03756451559769414,-0.07867546011073479,-0.0003852549496381402,0.16086956521739132,False
2-touch,structural_component,inverted,459,0.27142797028647125,-0.13537993468510476,0.1917255592770172,0.4782608695652174,0.32608695652173914,0.4782608695652174,0.2092158041690321,0.3523037862391422,0.5076923076923077,0.44,0.03756451559769414,0.07867546011073479,0.0003852549496381402,0.0,False
2-touch,structural_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False
3-touch+,touch_component,current,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,touch_component,inverted,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,touch_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,width_component,current,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,width_component,inverted,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,width_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,active_age_component,current,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,active_age_component,inverted,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,active_age_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True
3-touch+,formation_delay_component,current,7,-0.3633288387539555,-0.4985810460356584,0.8594959412117744,0.3333333333333333,0.0,1.0,-0.2957027351131041,-0.4985810460356584,0.5,0.0,-0.5363636363636364,-0.5000000000000001,-1.0,-0.6666666666666667,False
3-touch+,formation_delay_component,inverted,7,1.4517125730902034,0.8594959412117744,-0.4985810460356584,1.0,1.0,0.0,0.8594959412117744,2.043929204968632,1.0,1.0,0.5363636363636364,0.5000000000000001,1.0,1.0,False
3-touch+,formation_delay_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,False
3-touch+,structural_component,current,7,1.226261867371212,2.043929204968632,0.8594959412117744,1.0,1.0,1.0,0.40859452977379185,2.043929204968632,1.0,1.0,0.3243374865704013,-0.316227766016838,0.5,0.0,False
3-touch+,structural_component,inverted,7,-0.07025202939411279,0.8594959412117744,2.043929204968632,0.5,1.0,1.0,-0.07025202939411279,,0.5,,-0.3243374865704013,0.316227766016838,-0.5,-0.5,False
3-touch+,structural_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,False
