event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
15988,2016-05-31 13:00:00+00:00,choch,bull,1.0,0.4477978747521324,0.6477978747521325,10.0,0,0,0
14021,2016-06-07 21:00:00+00:00,choch,bull,1.0,0.4237044041333172,0.7737044041333173,7.0,0,0,0
14062,2016-06-16 17:00:00+00:00,choch,bear,-1.0,0.42466010903428686,0.7246601090342869,5.0,0,0,0
14094,2016-06-24 01:00:00+00:00,choch,bull,1.0,0.8006338145039341,1.0,17.0,0,0,0
14149,2016-07-07 09:00:00+00:00,choch,bear,-1.0,0.5705908111613841,0.8205908111613841,0.0,1,1,1
14167,2016-07-12 09:00:00+00:00,choch,bear,-1.0,0.4939238864828407,0.6439238864828407,1.0,0,1,1
14203,2016-07-20 09:00:00+00:00,choch,bear,-1.0,0.6700759485601006,0.9700759485601006,25.0,0,0,0
14211,2016-07-21 17:00:00+00:00,choch,bull,1.0,0.34388373916390835,0.5438837391639084,33.0,0,0,0
14246,2016-07-29 13:00:00+00:00,choch,bull,1.0,0.5993438646980274,0.9493438646980275,3.0,0,0,0
14256,2016-08-02 05:00:00+00:00,choch,bull,1.0,0.5940167626585675,0.7940167626585676,7.0,0,0,0
14353,2016-08-24 09:00:00+00:00,choch,bear,-1.0,0.60751730592185,0.8075173059218501,5.0,0,0,0
14390,2016-09-01 13:00:00+00:00,choch,bull,1.0,0.41805168879611476,0.8680516887961148,15.0,0,0,0
14472,2016-09-21 09:00:00+00:00,choch,bull,1.0,0.5453021338110243,0.8953021338110244,6.0,0,0,0
14566,2016-10-13 01:00:00+00:00,choch,bull,1.0,0.4548189671798124,0.6548189671798125,4.0,0,0,0
14584,2016-10-18 01:00:00+00:00,choch,bull,1.0,0.22968678740637544,0.4296867874063754,1.0,0,1,1
14600,2016-10-20 17:00:00+00:00,choch,bear,-1.0,0.3472131456584113,0.5472131456584114,15.0,0,0,0
14636,2016-10-28 17:00:00+00:00,choch,bull,1.0,0.4323218405740914,0.7823218405740915,9.0,0,0,0
14667,2016-11-06 22:00:00+00:00,choch,bear,-1.0,0.2612549190519141,0.4612549190519141,21.0,0,0,0
14680,2016-11-09 02:00:00+00:00,choch,bull,1.0,0.8260730680948738,1.0,34.0,0,0,0
