row_idx,timestamp,number_of_active_obs,number_of_fresh_obs,best_active_ob_strength,best_fresh_ob_strength,nearest_active_bull_ob_distance_atr,nearest_active_bear_ob_distance_atr,nearest_fresh_bull_ob_distance_atr,nearest_fresh_bear_ob_distance_atr
123,2014-01-30 15:00:00+00:00,0,0,,,,,,
124,2014-01-30 19:00:00+00:00,0,0,,,,,,
125,2014-01-30 23:00:00+00:00,0,0,,,,,,
126,2014-01-31 03:00:00+00:00,0,0,,,,,,
127,2014-01-31 07:00:00+00:00,0,0,,,,,,
128,2014-01-31 11:00:00+00:00,0,0,,,,,,
129,2014-01-31 15:00:00+00:00,0,0,,,,,,
130,2014-01-31 19:00:00+00:00,0,0,,,,,,
131,2014-02-02 23:00:00+00:00,0,0,,,,,,
132,2014-02-03 03:00:00+00:00,0,0,,,,,,
133,2014-02-03 07:00:00+00:00,0,0,,,,,,
134,2014-02-03 11:00:00+00:00,0,0,,,,,,
135,2014-02-03 15:00:00+00:00,0,0,,,,,,
136,2014-02-03 19:00:00+00:00,0,0,,,,,,
137,2014-02-03 23:00:00+00:00,0,0,,,,,,
138,2014-02-04 03:00:00+00:00,0,0,,,,,,
139,2014-02-04 07:00:00+00:00,0,0,,,,,,
140,2014-02-04 11:00:00+00:00,0,0,,,,,,
141,2014-02-04 15:00:00+00:00,0,0,,,,,,
142,2014-02-04 19:00:00+00:00,0,0,,,,,,
143,2014-02-04 23:00:00+00:00,0,0,,,,,,
144,2014-02-05 03:00:00+00:00,0,0,,,,,,
145,2014-02-05 07:00:00+00:00,0,0,,,,,,
146,2014-02-05 11:00:00+00:00,0,0,,,,,,
147,2014-02-05 15:00:00+00:00,0,0,,,,,,
148,2014-02-05 19:00:00+00:00,0,0,,,,,,
149,2014-02-05 23:00:00+00:00,0,0,,,,,,
150,2014-02-06 03:00:00+00:00,0,0,,,,,,
151,2014-02-06 07:00:00+00:00,0,0,,,,,,
152,2014-02-06 11:00:00+00:00,0,0,,,,,,
153,2014-02-06 15:00:00+00:00,0,0,,,,,,
154,2014-02-06 19:00:00+00:00,0,0,,,,,,
155,2014-02-06 23:00:00+00:00,0,0,,,,,,
156,2014-02-07 03:00:00+00:00,0,0,,,,,,
157,2014-02-07 07:00:00+00:00,0,0,,,,,,
158,2014-02-07 11:00:00+00:00,0,0,,,,,,
159,2014-02-07 15:00:00+00:00,0,0,,,,,,
160,2014-02-07 19:00:00+00:00,0,0,,,,,,
161,2014-02-09 23:00:00+00:00,0,0,,,,,,
162,2014-02-10 03:00:00+00:00,0,0,,,,,,
163,2014-02-10 07:00:00+00:00,0,0,,,,,,
164,2014-02-10 11:00:00+00:00,0,0,,,,,,
165,2014-02-10 15:00:00+00:00,0,0,,,,,,
166,2014-02-10 19:00:00+00:00,0,0,,,,,,
167,2014-02-10 23:00:00+00:00,1,1,0.8303566616587184,0.8303566616587184,1.785025305493574,,1.785025305493574,
168,2014-02-11 03:00:00+00:00,1,1,0.8303566616587184,0.8303566616587184,1.3672242121572151,,1.3672242121572151,
169,2014-02-11 07:00:00+00:00,1,1,0.8303566616587184,0.8303566616587184,1.4533076948937913,,1.4533076948937913,
170,2014-02-11 11:00:00+00:00,1,1,0.8303566616587184,0.8303566616587184,1.0141642788544702,,1.0141642788544702,
171,2014-02-11 15:00:00+00:00,2,2,0.8303566616587184,0.8303566616587184,0.7827509799736613,,0.7827509799736613,
172,2014-02-11 19:00:00+00:00,2,2,0.8303566616587184,0.8303566616587184,0.8255811893953299,,0.8255811893953299,
173,2014-02-11 23:00:00+00:00,2,2,0.8303566616587184,0.8303566616587184,0.22231575951782215,,0.22231575951782215,
174,2014-02-12 03:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,0.4826220509885101,,1.8562850636145294,
175,2014-02-12 07:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,0.4429476363998022,,1.8705368339685722,
176,2014-02-12 11:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,0.9568704508976942,,2.393595816340507,
177,2014-02-12 15:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,1.5596578090474416,,2.9930950769388542,
178,2014-02-12 19:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,1.080375164271531,,2.5321392534106604,
179,2014-02-12 23:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,1.233635490763806,,2.7349652676045935,
180,2014-02-13 03:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,0.91971703042385,,2.4698248603832105,
181,2014-02-13 07:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,1.3885343184199261,,2.9325180288543744,
182,2014-02-13 11:00:00+00:00,2,1,0.8303566616587184,0.8303566616587184,1.9013547537093471,,3.4225721726117198,
183,2014-02-13 15:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,1.4969230954189086,,1.4969230954189086,
184,2014-02-13 19:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,1.7344747061433743,,1.7344747061433743,
185,2014-02-13 23:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,2.184352786831089,,2.184352786831089,
186,2014-02-14 03:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,2.6155659148977075,,2.6155659148977075,
187,2014-02-14 07:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,3.31830168256737,,3.31830168256737,
188,2014-02-14 11:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.55611069743544,,4.55611069743544,
189,2014-02-14 15:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.368659655429086,,4.368659655429086,
190,2014-02-14 19:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.4859319317745205,,4.4859319317745205,
191,2014-02-16 23:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,5.605261427693849,,5.605261427693849,
192,2014-02-17 03:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,5.693135488777652,,5.693135488777652,
193,2014-02-17 07:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,5.6474557727667865,,5.6474557727667865,
194,2014-02-17 11:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,5.898395264636427,,5.898395264636427,
195,2014-02-17 15:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,6.403142373105452,,6.403142373105452,
196,2014-02-17 23:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,5.1959031403267515,,5.1959031403267515,
197,2014-02-18 03:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.324798237141364,,4.324798237141364,
198,2014-02-18 07:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,3.4136620047651287,,3.4136620047651287,
199,2014-02-18 11:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.37847447263051,,4.37847447263051,
200,2014-02-18 15:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.930122621688443,,4.930122621688443,
201,2014-02-18 19:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.79434795511268,,4.79434795511268,
202,2014-02-18 23:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.308995616814618,,4.308995616814618,
203,2014-02-19 03:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.283230541053904,,4.283230541053904,
204,2014-02-19 07:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.52874171394926,,4.52874171394926,
205,2014-02-19 11:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.843772878536649,,4.843772878536649,
206,2014-02-19 15:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,4.6978782066106355,,4.6978782066106355,
207,2014-02-19 19:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,2.8591910348665293,,2.8591910348665293,
208,2014-02-19 23:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,3.22390423373635,,3.22390423373635,
209,2014-02-20 03:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,3.5077525281362867,,3.5077525281362867,
210,2014-02-20 07:00:00+00:00,3,2,0.8303566616587184,0.8303566616587184,3.5766541854377025,,3.5766541854377025,
