segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero,stability_classification
overall,atr_percentile_component,inverted,466,0.08974364028039193,0.11273972281435808,0.003726785291338051,0.42016806722689076,0.3728813559322034,0.47058823529411764,0.33110132076310284,-0.17278576656045155,0.532258064516129,0.2982456140350877,-0.04564292520791373,0.07005093343020166,-0.1529238708446836,-0.05042016806722688,False,stable_negative
overall,atr_percentile_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False,degenerate
overall,distance_at_detect_component,current,466,0.2636841004351167,0.5210705209935782,0.0712790886853584,0.5213675213675214,0.6382978723404256,0.48936170212765956,0.20355990991735282,0.31521912087891435,0.5370370370370371,0.5079365079365079,0.053026809760269564,0.07094091053131289,0.03511648580426079,0.032005819239861844,False,stable_positive
overall,distance_at_detect_component,inverted,466,0.1542700371533733,0.0712790886853584,0.5210705209935782,0.452991452991453,0.48936170212765956,0.6382978723404256,0.1262803146664872,0.19595685787852282,0.42857142857142855,0.48936170212765956,-0.053026809760269564,-0.07094091053131289,-0.03511648580426079,-0.18530641934897257,False,stable_negative
overall,distance_at_detect_component,neutralized,466,0.11063018906141328,0.11063018906141328,0.11063018906141328,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.06609600629574258,0.15516437182708398,0.463519313304721,0.45493562231759654,,,,0.0,False,degenerate
eqh,width_component,current,233,-0.01634224998113669,-0.025763450238302194,0.041596920484695224,0.4576271186440678,0.4583333333333333,0.46808510638297873,-0.01634224998113669,,0.4576271186440678,,-0.02855837340983464,-0.02855837340983464,,-0.010457987738910934,False,stable_negative
eqh,width_component,inverted,233,0.03949009899062185,0.041596920484695224,-0.025763450238302194,0.4576271186440678,0.46808510638297873,0.4583333333333333,0.03949009899062185,,0.4576271186440678,,0.02855837340983464,0.02855837340983464,,-0.0007062146892655163,False,stable_positive
eqh,width_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False,degenerate
eqh,formation_delay_component,current,233,0.34975876127827177,0.6411488478243773,-0.07120294872136518,0.6166666666666667,0.68,0.3902439024390244,0.34975876127827177,,0.6166666666666667,,0.12734182247691955,0.12734182247691955,,0.2264227642276423,False,stable_positive
eqh,formation_delay_component,inverted,233,-0.09499037662321826,-0.07120294872136518,0.6411488478243773,0.38461538461538464,0.3902439024390244,0.68,-0.09499037662321826,,0.38461538461538464,,-0.12734182247691955,-0.12734182247691955,,-0.2953846153846154,False,stable_negative
