ob_id,side_label,activate_idx,fresh_state_duration,touched_state_duration,partial_state_duration,post_full_pre_terminal_duration,total_live_duration,bars_to_invalidation,bars_to_retirement,terminal_state
139,bull,6732,14.0,0.0,38.0,0.0,52.0,,,mitigated_full
140,bear,6787,96.0,0.0,0.0,0.0,96.0,,96.0,retired
141,bull,6873,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
142,bull,6923,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
143,bear,7142,96.0,0.0,0.0,0.0,96.0,,96.0,retired
144,bear,7152,96.0,0.0,0.0,0.0,96.0,,96.0,retired
145,bear,7166,96.0,0.0,0.0,0.0,96.0,,96.0,retired
146,bear,7170,3.0,0.0,11.0,0.0,14.0,,,mitigated_full
147,bear,7283,63.0,0.0,5.0,0.0,68.0,,,mitigated_full
148,bear,7293,25.0,0.0,1.0,0.0,26.0,26.0,,invalidated
149,bull,7421,12.0,0.0,1.0,0.0,13.0,,,mitigated_full
150,bear,7488,19.0,0.0,0.0,0.0,19.0,19.0,,invalidated
151,bull,7507,25.0,0.0,0.0,0.0,25.0,25.0,,invalidated
152,bear,7686,13.0,0.0,0.0,0.0,13.0,13.0,,invalidated
153,bear,7691,1.0,0.0,7.0,0.0,8.0,8.0,,invalidated
154,bull,7710,41.0,0.0,5.0,0.0,46.0,,,mitigated_full
155,bull,7799,5.0,0.0,24.0,0.0,29.0,29.0,,invalidated
156,bull,7887,1.0,0.0,1.0,0.0,2.0,,,mitigated_full
157,bull,7898,8.0,0.0,0.0,0.0,8.0,8.0,,invalidated
158,bull,8015,15.0,0.0,1.0,0.0,16.0,,,mitigated_full
159,bear,8045,10.0,0.0,1.0,0.0,11.0,,,mitigated_full
160,bull,8096,13.0,0.0,1.0,0.0,14.0,,,mitigated_full
161,bear,8132,6.0,0.0,90.0,0.0,96.0,,96.0,retired
162,bear,8149,23.0,0.0,2.0,0.0,25.0,,,mitigated_full
163,bull,8189,10.0,0.0,1.0,0.0,11.0,,,mitigated_full
164,bull,8216,1.0,0.0,9.0,0.0,10.0,,,mitigated_full
165,bull,8226,6.0,0.0,30.0,0.0,36.0,36.0,,invalidated
166,bear,8262,57.0,0.0,39.0,0.0,96.0,,96.0,retired
167,bear,8266,1.0,0.0,1.0,0.0,2.0,2.0,,invalidated
168,bull,8303,22.0,0.0,0.0,0.0,22.0,22.0,,invalidated
169,bull,8318,5.0,0.0,1.0,0.0,6.0,6.0,,invalidated
170,bear,8332,96.0,0.0,0.0,0.0,96.0,,96.0,retired
171,bear,8343,43.0,0.0,0.0,0.0,43.0,,,mitigated_full
172,bull,8455,19.0,0.0,5.0,0.0,24.0,24.0,,invalidated
173,bear,8473,67.0,0.0,0.0,0.0,67.0,67.0,,invalidated
174,bear,8479,25.0,0.0,32.0,0.0,57.0,,,mitigated_full
175,bull,8558,19.0,0.0,7.0,0.0,26.0,26.0,,invalidated
176,bull,8624,96.0,0.0,0.0,0.0,96.0,,96.0,retired
177,bull,8631,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
178,bear,8696,20.0,0.0,0.0,0.0,20.0,,,mitigated_full
179,bull,8753,15.0,0.0,0.0,0.0,15.0,,,mitigated_full
180,bull,8815,96.0,0.0,0.0,0.0,96.0,,96.0,retired
181,bull,8936,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
182,bear,8982,18.0,0.0,0.0,0.0,18.0,,,mitigated_full
183,bull,9051,5.0,0.0,0.0,0.0,5.0,5.0,,invalidated
184,bear,9066,27.0,0.0,0.0,0.0,27.0,27.0,,invalidated
185,bear,9075,12.0,0.0,1.0,0.0,13.0,,,mitigated_full
186,bull,9093,6.0,0.0,0.0,0.0,6.0,,,mitigated_full
187,bull,9186,13.0,0.0,5.0,0.0,18.0,18.0,,invalidated
188,bear,9249,96.0,0.0,0.0,0.0,96.0,,96.0,retired
189,bull,9344,3.0,0.0,0.0,0.0,3.0,,,mitigated_full
190,bull,9464,96.0,0.0,0.0,0.0,96.0,,96.0,retired
191,bull,9495,3.0,0.0,0.0,0.0,3.0,,,mitigated_full
192,bull,9547,2.0,0.0,0.0,0.0,2.0,2.0,,invalidated
193,bull,9569,41.0,0.0,0.0,0.0,41.0,41.0,,invalidated
194,bull,9658,60.0,0.0,0.0,0.0,60.0,60.0,,invalidated
195,bull,9681,37.0,0.0,0.0,0.0,37.0,37.0,,invalidated
196,bull,9741,7.0,0.0,22.0,0.0,29.0,,,mitigated_full
197,bear,9773,63.0,0.0,0.0,0.0,63.0,,,mitigated_full
198,bear,9780,42.0,0.0,0.0,0.0,42.0,42.0,,invalidated
199,bear,9785,8.0,0.0,26.0,0.0,34.0,34.0,,invalidated
200,bear,9852,14.0,0.0,5.0,0.0,19.0,,,mitigated_full
201,bull,9877,96.0,0.0,0.0,0.0,96.0,,96.0,retired
202,bull,9901,2.0,0.0,27.0,0.0,29.0,29.0,,invalidated
203,bull,10045,31.0,0.0,20.0,0.0,51.0,,,mitigated_full
204,bull,10051,7.0,0.0,1.0,0.0,8.0,,,mitigated_full
205,bull,10055,3.0,0.0,0.0,0.0,3.0,,,mitigated_full
206,bull,10113,14.0,0.0,5.0,0.0,19.0,19.0,,invalidated
207,bear,10144,12.0,0.0,7.0,0.0,19.0,,,mitigated_full
208,bull,10169,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
209,bull,10219,18.0,0.0,0.0,0.0,18.0,,,mitigated_full
210,bull,10250,6.0,0.0,0.0,0.0,6.0,6.0,,invalidated
211,bull,10280,96.0,0.0,0.0,0.0,96.0,,96.0,retired
212,bull,10285,14.0,0.0,11.0,0.0,25.0,,,mitigated_full
213,bull,10340,96.0,0.0,0.0,0.0,96.0,,96.0,retired
214,bull,10349,96.0,0.0,0.0,0.0,96.0,,96.0,retired
215,bull,10404,31.0,0.0,0.0,0.0,31.0,31.0,,invalidated
216,bull,10668,1.0,0.0,6.0,0.0,7.0,,,mitigated_full
217,bull,10698,16.0,0.0,2.0,0.0,18.0,,,mitigated_full
218,bear,10891,64.0,0.0,32.0,0.0,96.0,,96.0,retired
219,bull,10949,13.0,0.0,16.0,0.0,29.0,,,mitigated_full
220,bull,11044,35.0,0.0,0.0,0.0,35.0,,,mitigated_full
221,bull,11053,26.0,0.0,0.0,0.0,26.0,26.0,,invalidated
222,bull,11061,1.0,0.0,6.0,0.0,7.0,7.0,,invalidated
223,bear,11157,1.0,0.0,5.0,0.0,6.0,6.0,,invalidated
224,bear,11190,15.0,0.0,0.0,0.0,15.0,,,mitigated_full
225,bear,11226,96.0,0.0,0.0,0.0,96.0,,96.0,retired
226,bear,11283,96.0,0.0,0.0,0.0,96.0,,96.0,retired
227,bear,11287,96.0,0.0,0.0,0.0,96.0,,96.0,retired
228,bear,11298,2.0,0.0,0.0,0.0,2.0,2.0,,invalidated
229,bear,11419,18.0,0.0,0.0,0.0,18.0,18.0,,invalidated
230,bull,11536,41.0,0.0,0.0,0.0,41.0,41.0,,invalidated
231,bull,11562,4.0,0.0,0.0,0.0,4.0,,,mitigated_full
232,bear,11580,1.0,0.0,1.0,0.0,2.0,,,mitigated_full
233,bull,11661,2.0,0.0,13.0,0.0,15.0,,,mitigated_full
234,bear,11738,1.0,0.0,2.0,0.0,3.0,,,mitigated_full
235,bull,11750,17.0,0.0,0.0,0.0,17.0,17.0,,invalidated
236,bull,11813,33.0,0.0,6.0,0.0,39.0,39.0,,invalidated
237,bear,11852,66.0,0.0,6.0,0.0,72.0,,,mitigated_full
238,bull,11888,16.0,0.0,80.0,0.0,96.0,,96.0,retired
239,bear,12057,2.0,0.0,1.0,0.0,3.0,,,mitigated_full
240,bull,12121,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
241,bull,12144,5.0,0.0,1.0,0.0,6.0,6.0,,invalidated
242,bull,12181,30.0,0.0,0.0,0.0,30.0,30.0,,invalidated
243,bull,12260,48.0,0.0,0.0,0.0,48.0,48.0,,invalidated
244,bull,12283,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
245,bear,12308,96.0,0.0,0.0,0.0,96.0,,96.0,retired
246,bear,12354,9.0,0.0,13.0,0.0,22.0,,,mitigated_full
247,bull,12454,2.0,0.0,1.0,0.0,3.0,3.0,,invalidated
248,bull,12558,1.0,0.0,2.0,0.0,3.0,,,mitigated_full
249,bull,12576,1.0,0.0,5.0,0.0,6.0,,,mitigated_full
250,bull,12631,96.0,0.0,0.0,0.0,96.0,,96.0,retired
251,bull,12637,96.0,0.0,0.0,0.0,96.0,,96.0,retired
252,bull,12643,5.0,0.0,0.0,0.0,5.0,,,mitigated_full
