row_idx,timestamp,active_ob_count,fresh_ob_count,nearest_active_distance_atr,nearest_fresh_distance_atr,best_active_monitorability_score,best_fresh_monitorability_score,top_k_active_ids_by_monitorability,top_k_fresh_ids_by_monitorability,active_bull_count,active_bear_count,fresh_bull_count,fresh_bear_count,nearest_monitorable_bull_ob_distance_atr,nearest_monitorable_bear_ob_distance_atr,best_bull_ob_score,best_bear_ob_score,any_monitorable_ob_within_1atr,any_monitorable_ob_within_2atr
188,2014-02-14 11:00:00+00:00,3,2,4.55611069743544,4.55611069743544,0.5986210034347851,0.5986210034347851,"4,2,3","4,2",3,0,2,0,4.55611069743544,,0.5986210034347851,,0,0
189,2014-02-14 15:00:00+00:00,3,2,4.368659655429086,4.368659655429086,0.5930103180660725,0.5930103180660725,"4,2,3","4,2",3,0,2,0,4.368659655429086,,0.5930103180660725,,0,0
190,2014-02-14 19:00:00+00:00,3,2,4.4859319317745205,4.4859319317745205,0.5851649423727241,0.5851649423727241,"4,2,3","4,2",3,0,2,0,4.4859319317745205,,0.5851649423727241,,0,0
191,2014-02-16 23:00:00+00:00,3,2,5.605261427693849,5.605261427693849,0.5709064041315354,0.5709064041315354,"4,2,3","4,2",3,0,2,0,5.605261427693849,,0.5709064041315354,,0,0
192,2014-02-17 03:00:00+00:00,3,2,5.693135488777652,5.693135488777652,0.5641703643333615,0.5641703643333615,"4,2,3","4,2",3,0,2,0,5.693135488777652,,0.5641703643333615,,0,0
193,2014-02-17 07:00:00+00:00,3,2,5.6474557727667865,5.6474557727667865,0.558468783723627,0.558468783723627,"4,2,3","4,2",3,0,2,0,5.6474557727667865,,0.558468783723627,,0,0
194,2014-02-17 11:00:00+00:00,3,2,5.898395264636427,5.898395264636427,0.5514081650296737,0.5514081650296737,"4,2,3","4,2",3,0,2,0,5.898395264636427,,0.5514081650296737,,0,0
195,2014-02-17 15:00:00+00:00,3,2,6.403142373105452,6.403142373105452,0.5467435431391093,0.5467435431391093,"2,4,3","2,4",3,0,2,0,6.403142373105452,,0.5467435431391093,,0,0
196,2014-02-17 23:00:00+00:00,3,2,5.1959031403267515,5.1959031403267515,0.5477026026338561,0.5477026026338561,"2,4,3","2,4",3,0,2,0,5.1959031403267515,,0.5477026026338561,,0,0
197,2014-02-18 03:00:00+00:00,3,2,4.324798237141364,4.324798237141364,0.5483038122420535,0.5483038122420535,"2,4,3","2,4",3,0,2,0,4.324798237141364,,0.5483038122420535,,0,0
198,2014-02-18 07:00:00+00:00,3,2,3.4136620047651287,3.4136620047651287,0.5514211023769627,0.5514211023769627,"4,2,3","4,2",3,0,2,0,3.4136620047651287,,0.5514211023769627,,0,0
199,2014-02-18 11:00:00+00:00,3,2,4.37847447263051,4.37847447263051,0.5436194610061597,0.5436194610061597,"2,4,3","2,4",3,0,2,0,4.37847447263051,,0.5436194610061597,,0,0
200,2014-02-18 15:00:00+00:00,3,2,4.930122621688443,4.930122621688443,0.5389801163286813,0.5389801163286813,"2,4,3","2,4",3,0,2,0,4.930122621688443,,0.5389801163286813,,0,0
201,2014-02-18 19:00:00+00:00,3,2,4.79434795511268,4.79434795511268,0.536760277097723,0.536760277097723,"2,4,3","2,4",3,0,2,0,4.79434795511268,,0.536760277097723,,0,0
