count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,width_component,formation_delay_component,wick_ratio_component,atr_percentile_component,distance_at_detect_component,accepted,temporally_stable,first_half_rank_corr,second_half_rank_corr,first_half_top_q_avg_r,second_half_top_q_avg_r,first_half_win_rate_gap,second_half_win_rate_gap
466,0.33755569690529835,0.8078740599574188,-0.13382088417405538,0.5299145299145299,0.7021276595744681,0.40425531914893614,0.41152263871767386,0.26231346299270913,0.5932203389830508,0.46551724137931033,0.11948598223409472,0.16999290236331827,0.06926976486802844,0.12565921076559378,0.16,0.32,0.36,0.12000000000000002,0.04,True,True,0.17806021842075942,0.06494841469903652,0.4757382925292728,0.176702665740556,0.20127118644067798,0.09957627118644069
466,0.3151668576054427,0.8078740599574188,-0.19852360359594992,0.5299145299145299,0.7021276595744681,0.40425531914893614,0.3671244319705027,0.2623134629927092,0.5932203389830508,0.46551724137931033,0.12348872954501389,0.16379990337698885,0.08436828005035886,0.12565921076559378,0.18181818181818182,0.3181818181818182,0.36363636363636365,0.09090909090909091,0.045454545454545456,True,True,0.17882064059917094,0.0729358335233196,0.4440282209285725,0.2151096044984919,0.20127118644067798,0.15819209039548027
466,0.3520377742720438,0.8074894660741045,-0.13578121416414554,0.5384615384615384,0.7021276595744681,0.425531914893617,0.39302030715167185,0.30739608667102025,0.5901639344262295,0.48214285714285715,0.12780549588470747,0.1711915473284143,0.0864794307456007,0.11292962356792141,0.15000000000000002,0.35000000000000003,0.35000000000000003,0.1,0.05,True,True,0.18923961882379337,0.06848179000448262,0.5044569883243444,0.17670266574055601,0.21822033898305082,0.09957627118644069
466,0.4192666109752513,0.8074305404284496,-0.1435734416778593,0.5555555555555556,0.7021276595744681,0.425531914893617,0.48889158002374655,0.35312289037918076,0.631578947368421,0.48333333333333334,0.13573640476654972,0.1798742690656272,0.09539052008245721,0.13002364066193856,0.13043478260869565,0.30434782608695654,0.3913043478260869,0.08695652173913043,0.08695652173913043,True,True,0.1957290855819648,0.07635176142424664,0.5221282694977994,0.21303689562510988,0.17655367231638414,0.03319209039548027
466,0.3539724726407227,0.8074305404284496,-0.12233998617445345,0.5384615384615384,0.7021276595744681,0.425531914893617,0.42509404468462464,0.28405635097044596,0.603448275862069,0.4745762711864407,0.13902278061642162,0.17665353191024277,0.10163276806590954,0.11292962356792141,0.12000000000000002,0.32,0.4,0.08,0.08,True,True,0.20023687621812405,0.0771997714975537,0.4696959580891173,0.21303689562510988,0.1596045197740113,0.0748587570621469
466,0.33580925591358063,0.8074305404284496,-0.1531386715413278,0.5299145299145299,0.7021276595744681,0.425531914893617,0.4323362429019274,0.24091831955215487,0.603448275862069,0.4576271186440678,0.14004041874869602,0.17497682042092522,0.10921716166368818,0.1043826150209129,0.13333333333333333,0.33333333333333337,0.4,0.06666666666666667,0.06666666666666667,True,True,0.19999999077511108,0.08044948146157667,0.5247320140219245,0.16989886420681866,0.15183615819209045,0.057909604519774005
466,0.3058680546523665,0.8065023561190195,-0.13382088417405538,0.5299145299145299,0.7021276595744681,0.40425531914893614,0.29777653891472383,0.31530815634628273,0.5714285714285714,0.48148148148148145,0.12378134949575773,0.1607282514162681,0.08575179145970527,0.12565921076559378,0.15789473684210528,0.42105263157894735,0.31578947368421056,0.10526315789473684,0.0,True,True,0.18949043870463067,0.05960057652546979,0.4938720992078308,0.09113614920284158,0.19350282485875708,0.0656779661016949
466,0.33610646865693306,0.8062840531573543,-0.09418260076434111,0.5470085470085471,0.6808510638297872,0.425531914893617,0.40979373893869236,0.25854092099192305,0.6333333333333333,0.45614035087719296,0.1329346185034751,0.1743471839487956,0.09244059067614548,0.12147663211493004,0.16,0.32,0.32,0.08,0.12000000000000002,True,True,0.1911496321227092,0.0718260550823133,0.5355728124975904,0.17147898538098783,0.19350282485875708,0.0748587570621469
466,0.38839923668960963,0.8060380644999299,-0.1747711042731543,0.5470085470085471,0.6808510638297872,0.40425531914893614,0.46984188777840996,0.31615172362696403,0.6363636363636364,0.46774193548387094,0.13026259525427197,0.17830092331127645,0.08488261138121099,0.14275322785961092,0.14285714285714288,0.28571428571428575,0.38095238095238093,0.09523809523809523,0.09523809523809523,True,True,0.1865890896862151,0.07387839871043436,0.5876773517565184,0.16558893117033463,0.23516949152542377,0.057909604519774005
466,0.33530119810423364,0.8060380644999299,-0.17956474442658765,0.5384615384615384,0.6808510638297872,0.40425531914893614,0.42958717908603755,0.24874357621929902,0.625,0.45901639344262296,0.12932377291230213,0.1743297906760848,0.08907152110583508,0.1342062193126023,0.16666666666666666,0.29166666666666663,0.37499999999999994,0.08333333333333333,0.08333333333333333,True,True,0.18076947126059725,0.07879526462843542,0.5301158819108082,0.16558893117033463,0.19350282485875708,0.14124293785310738
466,0.33146055803751556,0.8060380644999299,-0.19381541457779852,0.5299145299145299,0.6808510638297872,0.40425531914893614,0.4214361091345887,0.24886005211233372,0.6071428571428571,0.45901639344262296,0.1289109697675028,0.17326035287969732,0.08642909405527506,0.12565921076559378,0.17391304347826086,0.30434782608695654,0.34782608695652173,0.08695652173913043,0.08695652173913043,True,True,0.18159558436018042,0.07504491021972531,0.5223792731433312,0.18272853872362427,0.21822033898305082,0.15819209039548027
466,0.40100710581993654,0.8056013456926778,-0.089383784003479,0.5470085470085471,0.6808510638297872,0.44680851063829785,0.4590352904629499,0.34773532975421945,0.625,0.47540983606557374,0.136804616882658,0.1825200343202587,0.09202444081058199,0.10020003637024921,0.13043478260869565,0.30434782608695654,0.34782608695652173,0.08695652173913043,0.13043478260869565,True,True,0.19860157040774437,0.07268700427645719,0.6168363907279024,0.17009938981359088,0.23516949152542377,0.057909604519774005
466,0.34719863240818,0.8055692067844604,-0.1071988358221046,0.5384615384615384,0.7021276595744681,0.425531914893617,0.40680098563633194,0.2844593132206514,0.6,0.47368421052631576,0.12079057951449439,0.1681492154559774,0.07252719663009188,0.11292962356792141,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.05555555555555555,True,True,0.18008170722226957,0.06506088551861833,0.5075488590967124,0.176702665740556,0.21822033898305082,0.09957627118644069
466,0.3422511087079113,0.8055692067844604,-0.08604725725897419,0.5384615384615384,0.7021276595744681,0.425531914893617,0.397153314420808,0.2844593132206514,0.6,0.47368421052631576,0.116317301313391,0.1729751032072408,0.06167041977807386,0.11292962356792141,0.14285714285714288,0.33333333333333337,0.33333333333333337,0.14285714285714288,0.047619047619047616,True,True,0.17876390753088628,0.054897703759770405,0.4696959580891172,0.19205624053504577,0.20127118644067798,0.0748587570621469
466,0.3413984473732911,0.8055692067844604,-0.10088340402744876,0.5384615384615384,0.7021276595744681,0.425531914893617,0.3936257084358889,0.28642238309687224,0.6,0.47368421052631576,0.12245883670816969,0.1731003347707583,0.07418083166475016,0.11292962356792141,0.13043478260869565,0.34782608695652173,0.34782608695652173,0.13043478260869565,0.043478260869565216,True,True,0.18697925394529533,0.05980959309283421,0.49823151775609614,0.1659958207287135,0.21822033898305082,0.09957627118644069
