scope_type,scope_value,policy,sample_count,fill_rate,missed_trade_rate,win_rate_1r,win_rate_2r,win_rate_3r,expectancy_r,average_mae_r,average_mfe_r,median_mae_r,median_mfe_r,time_to_target_1r,time_to_stop,entry_improvement_atr,stop_compression_improvement_atr
year,2021,ob_body_entry,40,0.875,0.125,0.575,0.45,0.325,-0.08571428571428572,4.4809444612229505,2.6760905304896,2.750617283950673,2.220038046924435,1.0,1.0,1.3675258538033563,1.3675258538033563
year,2021,ob_first_touch,40,0.9,0.1,0.4,0.225,0.2,-0.1111111111111111,2.065843749267978,1.4877138419181848,1.6576287361583701,0.6507736249034242,1.0,1.0,1.0370710854707812,1.0370710854707812
year,2021,ob_mean_threshold,40,0.875,0.125,0.5,0.375,0.3,0.02857142857142857,3.5399481976025338,2.0801958276265973,2.5968468468469417,1.23539668700949,1.0,1.0,1.3278021120045296,1.3278021120045296
year,2022,bos_close,48,1.0,0.0,0.4791666666666667,0.3333333333333333,0.16666666666666666,-0.034666024701760646,1.0110332540239455,1.3517843470520452,1.0917266450707785,0.9679178115545549,5.0,5.0,0.0,0.0
year,2022,ob_body_entry,48,0.8333333333333334,0.16666666666666666,0.5625,0.3958333333333333,0.2916666666666667,0.1,2.062812282919574,2.3667381924664284,1.4726210031555944,1.5766122594988583,1.0,1.0,1.0155261708094183,1.0155261708094183
year,2022,ob_first_touch,48,0.8541666666666666,0.14583333333333334,0.4166666666666667,0.3125,0.1875,-0.036568863658867044,1.515742481787025,1.6203500608854933,1.251221679253664,0.937231298366293,1.0,2.0,0.7059500034704792,0.7059500034704792
year,2022,ob_mean_threshold,48,0.8333333333333334,0.16666666666666666,0.5,0.3958333333333333,0.2916666666666667,0.2,2.1655850860876096,2.2320712418213575,1.4213997930331999,1.7575863886598566,1.0,1.0,1.041072851819661,1.041072851819661
year,2023,bos_close,58,1.0,0.0,0.5172413793103449,0.25862068965517243,0.1724137931034483,0.12958441044530486,1.0782799101122054,1.367186000391944,1.02760311066656,1.0987295417077878,11.5,8.0,0.0,0.0
year,2023,ob_body_entry,58,0.8275862068965517,0.1724137931034483,0.5,0.4482758620689655,0.3793103448275862,0.5833333333333334,3.108738894785256,2.7600462838731095,1.2201426024955395,2.5619855149265094,1.0,1.0,1.3190997530961326,1.3190997530961326
year,2023,ob_first_touch,58,0.8275862068965517,0.1724137931034483,0.41379310344827586,0.3103448275862069,0.3103448275862069,0.5,1.5756157515656046,1.6578745523405292,1.120294307531332,1.0638009710920426,2.0,1.0,1.0135726641226603,1.0135726641226603
year,2023,ob_mean_threshold,58,0.7931034482758621,0.20689655172413793,0.43103448275862066,0.3103448275862069,0.1896551724137931,-0.043478260869565216,3.0814728527867157,2.2488806011733207,1.539803523035271,1.4653005464479492,1.0,1.0,1.2960573132045738,1.2960573132045738
year,2024,bos_close,46,1.0,0.0,0.5652173913043478,0.391304347826087,0.2826086956521739,0.43380527597862156,0.9128205057282315,1.6548269702669576,1.0319628333651951,1.433570982774743,4.5,7.0,0.0,0.0
year,2024,ob_body_entry,46,0.8260869565217391,0.17391304347826086,0.45652173913043476,0.34782608695652173,0.30434782608695654,0.2631578947368421,2.4436698678256876,2.991971786097929,1.3828624949253685,1.2167355994155002,1.0,1.0,1.2610660491381684,1.2610660491381684
