event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
15463,2016-01-27 18:00:00+00:00,bos,bull,1.0,0.38478493835082966,0.5847849383508297,12.0,0,0,0
15492,2016-02-03 14:00:00+00:00,bos,bull,1.0,0.7173680779635407,1.0,3.0,0,0,0
15496,2016-02-04 06:00:00+00:00,bos,bull,1.0,0.24862652665147988,0.34862652665147986,1.0,0,1,1
15506,2016-02-07 22:00:00+00:00,bos,bull,1.0,0.3588628226424311,0.6588628226424311,9.0,0,0,0
15509,2016-02-08 10:00:00+00:00,bos,bull,1.0,0.5521762061863159,0.752176206186316,12.0,0,0,0
15621,2016-03-04 06:00:00+00:00,bos,bull,1.0,0.4840761884738482,0.5340761884738482,7.0,0,0,0
15675,2016-03-17 05:00:00+00:00,bos,bull,1.0,0.4944031833004881,0.5944031833004881,9.0,0,0,0
15698,2016-03-23 01:00:00+00:00,bos,bear,-1.0,0.44117143486255983,0.6411714348625599,4.0,0,0,0
15769,2016-04-10 21:00:00+00:00,bos,bull,1.0,0.5849152306368154,0.8849152306368154,5.0,0,0,0
15849,2016-04-28 05:00:00+00:00,bos,bull,1.0,0.34004671584395063,0.5400467158439507,15.0,0,0,0
15937,2016-05-18 21:00:00+00:00,bos,bear,-1.0,0.2811484140001622,0.4311484140001623,7.0,0,0,0
15958,2016-05-24 09:00:00+00:00,bos,bear,-1.0,0.5364651276960124,0.7364651276960125,17.0,0,0,0
15979,2016-05-29 21:00:00+00:00,bos,bear,-1.0,0.6135678440575567,0.6635678440575568,1.0,0,1,1
14036,2016-06-10 09:00:00+00:00,bos,bull,1.0,0.5628316728279553,0.7628316728279554,8.0,0,0,0
14040,2016-06-13 01:00:00+00:00,bos,bull,1.0,0.5512400019965061,0.8512400019965062,12.0,0,0,0
14078,2016-06-21 09:00:00+00:00,bos,bear,-1.0,0.3644448755751846,0.41444487557518467,21.0,0,0,0
14140,2016-07-05 21:00:00+00:00,bos,bull,1.0,0.670059769077266,0.9700597690772661,8.0,0,0,0
14233,2016-07-27 09:00:00+00:00,bos,bull,1.0,0.4484208973703391,0.6484208973703391,16.0,0,0,0
14275,2016-08-05 09:00:00+00:00,bos,bear,-1.0,0.6403398378981489,0.9403398378981489,26.0,0,0,0
14301,2016-08-11 17:00:00+00:00,bos,bear,-1.0,0.3148805173992083,0.5148805173992084,10.0,0,0,0
14368,2016-08-28 21:00:00+00:00,bos,bear,-1.0,0.2706057116821329,0.4706057116821329,4.0,0,0,0
14378,2016-08-30 13:00:00+00:00,bos,bear,-1.0,0.35206411210670446,0.5520641121067045,14.0,0,0,0
14384,2016-08-31 13:00:00+00:00,bos,bear,-1.0,0.21662214345420383,0.46662214345420383,20.0,0,0,0
14405,2016-09-06 05:00:00+00:00,bos,bull,1.0,0.49621579147262007,0.5962157914726202,0.0,1,1,1
14419,2016-09-08 13:00:00+00:00,bos,bear,-1.0,0.44631801510193597,0.646318015101936,8.0,0,0,0
14438,2016-09-13 17:00:00+00:00,bos,bear,-1.0,0.20968977527651206,0.409689775276512,4.0,0,0,0
14448,2016-09-15 09:00:00+00:00,bos,bear,-1.0,0.45691370284710325,0.6069137028471032,6.0,0,0,0
14521,2016-10-03 13:00:00+00:00,bos,bear,-1.0,0.2576705750181634,0.30767057501816336,12.0,0,0,0
14525,2016-10-04 05:00:00+00:00,bos,bear,-1.0,0.2682649543118522,0.46826495431185217,16.0,0,0,0
14538,2016-10-06 09:00:00+00:00,bos,bear,-1.0,0.6509361000525413,0.9509361000525414,11.0,0,0,0
14646,2016-11-01 09:00:00+00:00,bos,bull,1.0,0.4580123192143882,0.6580123192143882,0.0,1,1,1
14695,2016-11-11 14:00:00+00:00,bos,bear,-1.0,0.6418136185051788,0.6918136185051789,22.0,0,0,0
14772,2016-11-30 14:00:00+00:00,bos,bear,-1.0,0.4188613059904067,0.4688613059904068,13.0,0,0,0
14814,2016-12-09 14:00:00+00:00,bos,bear,-1.0,0.41834417832518944,0.46834417832518954,6.0,0,0,0
14837,2016-12-15 10:00:00+00:00,bos,bear,-1.0,0.27952181586520564,0.47952181586520565,1.0,0,1,1
14877,2016-12-27 02:00:00+00:00,bos,bull,1.0,0.40726894154785576,0.6072689415478558,33.0,0,0,0
14893,2016-12-29 18:00:00+00:00,bos,bull,1.0,0.27664781310138253,0.47664781310138254,24.0,0,0,0
14914,2017-01-05 06:00:00+00:00,bos,bull,1.0,0.20007791847714207,0.25007791847714206,3.0,0,0,0
14942,2017-01-11 22:00:00+00:00,bos,bull,1.0,0.42166830246140813,0.6216683024614081,9.0,0,0,0
14983,2017-01-22 22:00:00+00:00,bos,bull,1.0,0.5964996166544401,0.6964996166544402,1.0,0,1,1
13021,2017-01-31 02:00:00+00:00,bos,bull,1.0,0.3286453278715102,0.4286453278715102,14.0,0,0,0
13024,2017-01-31 14:00:00+00:00,bos,bull,1.0,0.4725194429311478,0.5225194429311478,11.0,0,0,0
13033,2017-02-02 02:00:00+00:00,bos,bull,1.0,0.34265652994584234,0.44265652994584237,2.0,0,0,1
13059,2017-02-08 10:00:00+00:00,bos,bull,1.0,0.2751273617540468,0.5251273617540467,4.0,0,0,0
13111,2017-02-21 06:00:00+00:00,bos,bear,-1.0,0.3647873555885807,0.41478735558858076,7.0,0,0,0
