report_group,range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,strength_repair_v1,strength_repair_v2,strength_repair_v3,strength_repair_v4,contract_bucket
shortest_lived,96,5,7625,7628,7629,4,3,1319.878,1328.71,1324.2939999999999,8.832000000000107,1.8868324239156002,0.6489817541176035,0.6489817541176035,0.5646964964331974,0.5646964964331974,2,2,1.0,0.9154612154786657,0.27700000000004366,0.05917714916493402,0.8203125000000034,0.33904020117232797,1.5477922227432723,2.0,0.622293223505434,3,0,1,0.555857487922701,0,1,0.6,0.4,0.4,0.7248410309275529,0.6685191645190833,0.6204328450907686,0.7248410309275529,0.6419349846636881,0.7248410309275529,0.6317709040987365,0.25,1.0,0.9154612154786657,0,0,0,,7629.0,1,7629.0,,1.0,1,1,1.0,0.4,0.5488254712975597,1,0.7166666666666667,0.8333333333333334,0.4814421328042821,0.0625,0.23223553320107052,0.21954554189212364,0.3044956823405341,0.338588082055427,0.1352512370062059,strong_false_positive
shortest_lived,98,12,7941,7945,7946,4,4,1503.515,1527.822,1515.6685,24.30699999999979,2.332291090953595,0.7529660787358265,0.7529660787358265,0.5933953636706972,0.5933953636706972,3,4,1.0,1.0,0.0,0.0,0.14543135722219463,1.9931028321589808,0.33918825879461434,0.0,0.6615198742134841,0,2,-1,0.4939317891965198,0,1,0.41666666666666663,1.0,0.41666666666666663,0.7544432132639305,0.7671037384587902,0.7408541030440404,0.7544432132639305,0.7320278586593614,0.7544432132639305,0.6442236102911454,0.5,1.0,1.0,0,0,0,,7946.0,-1,,7946.0,1.0,-1,-1,1.0,0.6,0.595248351950919,1,0.55,0.85,0.5638451198715614,0.0625,0.2828362799678904,0.2827277198858057,0.3535769212575602,0.4066896314492979,0.18173170851921266,strong_false_positive
shortest_lived,103,8,8020,8023,8024,4,3,1533.819,1556.866,1545.3425,23.047000000000025,2.6942051093826493,0.6302080213993021,0.6302080213993021,0.5584084557392444,0.5584084557392444,2,2,0.875,1.0,0.0,0.0,0.30563630841324635,1.8707582056428298,0.8234469037398195,2.0,0.5749356673992304,0,0,0,0.778235779060187,0,1,0.625,0.375,0.375,0.7363539089097358,0.6536127010349199,0.5935647485037139,0.7363539089097358,0.6183184760001971,0.7363539089097358,0.5972374809237176,0.25,0.875,1.0,0,0,0,,8024.0,-1,,8024.0,1.0,-1,-1,1.0,0.4,0.26280793516342144,1,0.7166666666666667,0.8333333333333334,0.4466272225546188,0.0625,0.22353180563865468,0.21433647806198963,0.29754064579435174,0.33452388093995644,0.12823813599172632,strong_false_positive
shortest_lived,122,12,9356,9362,9363,4,6,1794.854,1812.224,1803.539,17.36999999999989,2.9688323204109395,0.6743437866235995,0.6743437866235995,0.5531801668850982,0.5531801668850982,3,3,1.0,0.8649753866940608,0.5529999999998836,0.0945172293141574,0.894473229706398,0.31329128631622677,2.6555410340947123,0.0,0.7253111940365299,2,0,1,0.3948954135482563,0,1,1.0,0.41666666666666663,0.41666666666666663,0.715022648284671,0.6867700099726499,0.6573971411446258,0.715022648284671,0.662218210073,0.715022648284671,0.6227567481304482,0.5,1.0,0.8649753866940608,0,0,0,,9363.0,1,9363.0,,1.0,1,1,1.0,1.0,0.7083177475308853,1,0.55,0.8690476190476191,0.477147630690204,0.0625,0.25735238386302717,0.26141699581233385,0.3251007930032131,0.38225928654797664,0.1607480780572766,strong_false_positive
shortest_lived,139,8,10519,10524,10525,4,5,1763.555,1789.99,1776.7725,26.434999999999945,2.9302561485032967,0.6013859423205248,0.6013859423205248,0.45141862538404154,0.45141862538404154,2,3,1.0,0.7822636545601318,1.375,0.15241544180790775,0.21373179496878666,2.303967242165364,0.6262889063379331,2.0,0.6632790229693988,0,2,-1,0.4777756761868672,0,1,0.25,1.0,0.25,0.5970098130380691,0.6192530905875194,0.5870777184614423,0.5970098130380691,0.601243214421004,0.5970098130380691,0.5935544540070963,0.25,1.0,0.7822636545601318,0,0,0,,10525.0,1,10525.0,,1.0,1,1,1.0,1.0,0.6632790229693988,1,0.65,0.8611111111111112,0.35123279195449425,0.0625,0.2074609757664013,0.20012061164792133,0.2614417119493624,0.30728813860295867,0.11726930559456188,strong_false_positive
shortest_lived,156,5,11570,11573,11574,4,3,1835.825,1847.8,1841.8125,11.974999999999909,1.810157291713615,0.6521012309325402,0.6521012309325402,0.5625691973677192,0.5625691973677192,2,2,1.0,1.0,0.0,0.0,0.45260960334028283,0.9908627179275952,0.8192945737860199,2.0,0.5195762454545426,0,2,-1,0.6257480862908764,0,1,0.4,0.8,0.4,0.7258198951478982,0.6763606859356123,0.6199283024555026,0.7258198951478982,0.6435425894856557,0.7258198951478982,0.625134970646049,0.25,1.0,1.0,0,0,0,,11574.0,-1,,11574.0,1.0,-1,-1,1.0,0.2,0.18033028098727058,1,0.7166666666666667,0.8333333333333334,0.4666969150731311,0.0625,0.22854922876828276,0.21698897961284186,0.30096542330188014,0.3360873232069118,0.13228096649028356,strong_false_positive
shortest_lived,159,16,11752,11755,11756,4,3,1912.595,1950.775,1931.685,38.180000000000064,2.787318871997567,0.6319877773929692,0.6319877773929692,0.5663766403961725,0.5663766403961725,2,2,1.0,1.0,0.0,0.0,0.8965426925091661,0.2883685056152566,2.4989503663823105,1.0,0.6297871925902497,2,0,1,0.4262266457132926,0,1,1.0,0.3125,0.3125,0.7178694574907558,0.6564088592159715,0.5977329998460015,0.7178694574907558,0.6313130269904251,0.7178694574907558,0.6482814168281793,0.25,1.0,1.0,0,0,0,,11756.0,1,11756.0,,1.0,1,1,1.0,0.6,0.5917463554539285,1,0.7166666666666667,0.8333333333333334,0.42872072974405767,0.0625,0.2190551824360144,0.2094631874406028,0.2903025464368711,0.327552340783429,0.12463105954100555,strong_false_positive
shortest_lived,160,8,11781,11784,11785,4,3,1970.765,2009.075,1989.92,38.309999999999945,1.8964134217066064,0.6663041202808955,0.6663041202808955,0.6040618036980845,0.6040618036980845,3,2,1.0,0.9664095023563076,0.4750000000001364,0.023513348350584655,0.48890629078569087,0.9692449699038294,0.9271684518027772,1.0,0.41367370280635557,0,0,0,0.9226485686939808,0,1,0.625,0.25,0.25,0.7192458112209161,0.6905156493359169,0.637495765324274,0.7192458112209161,0.6778227198035447,0.7192458112209161,0.7330907696973411,0.25,1.0,0.9664095023563076,0,0,0,,11785.0,-1,,11785.0,1.0,-1,-1,1.0,0.4,0.27209509094125933,1,0.7166666666666667,0.8333333333333334,0.4332846323794756,0.0625,0.2201961580948689,0.21040545986055775,0.2916471227161025,0.32866223522391314,0.12555041018625807,strong_false_positive
shortest_lived,173,8,12436,12440,12441,4,4,1784.78,1799.165,1791.9724999999999,14.384999999999991,1.7731118804881645,0.7142698670720591,0.7142698670720591,0.549323113171624,0.549323113171624,3,5,1.0,0.7614015990802426,1.3550000000000182,0.16701888064383014,0.856447688564473,0.25453430887786993,1.5185775716102945,0.0,0.2700027992798024,1,2,-1,0.9208666434943762,0,1,1.0,0.875,0.875,0.729902959885031,0.7202214742710421,0.7067692221748377,0.729902959885031,0.6883287650238329,0.729902959885031,0.5876624322274049,0.5,1.0,0.7614015990802426,0,0,0,,12441.0,1,12441.0,,1.0,1,1,1.0,0.6,0.2700027992798024,1,0.55,0.85,0.4804061308631085,0.0625,0.26197653271577714,0.26421971945372674,0.32908828536674234,0.38652267565859716,0.16238064248710854,strong_false_positive
shortest_lived,178,16,13073,13078,13079,4,5,1867.07,1886.555,1876.8125,19.485000000000127,2.3709550367918317,0.6730820728150646,0.6730820728150646,0.5187027099783648,0.5187027099783648,4,2,1.0,1.0,0.0,0.0,0.8806774441878352,0.28290841470572653,2.0880466220861056,0.0,0.7087001449764035,2,0,1,0.3914121974168234,0,1,1.0,0.75,0.75,0.6750744745980573,0.6932618998768041,0.6558122337979247,0.6750744745980573,0.6624175479893335,0.6750744745980573,0.6139394725972097,0.25,1.0,1.0,0,0,0,,13079.0,1,13079.0,,1.0,1,1,1.0,0.2,0.4047455228484552,1,0.65,0.8611111111111112,0.4254573647195196,0.0625,0.22601711895765766,0.22108403847569133,0.2916611640166387,0.33647488965936023,0.13312599385507018,strong_false_positive
