range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,birth_timestamp,confirm_timestamp,active_start_idx,active_start_timestamp,end_timestamp,range_state,geometry_upper_edge_miss_atr,geometry_lower_edge_miss_atr,geometry_chart_fit_score,geometry_visible_width_ratio,geometry_upper_swing_confluence,geometry_lower_swing_confluence,geometry_review_bucket_suggested,geometry_review_bucket_manual,geometry_review_notes,candidate_lineage_id,candidate_birth_idx,last_idx,last_timestamp,maturity_pass_idx,maturity_pass_timestamp,viability_pass_idx,viability_pass_timestamp,range_confirm_idx,range_confirm_timestamp
88,8,7125,7128,7130,4,3,1310.69,1316.806,1313.748,6.1159999999999854,1.6519863614654717,0.6287329914550984,0.6287329914550984,0.5422758832645723,0.5422758832645723,2,2,0.875,1.0,0.0,0.0,0.4664813603662271,0.8813655162626047,0.770620845202867,0.0,0.49278070557408926,0,0,0,0.9846304774362491,0,1,0.375,0.25,0.25,0.7082236344838427,0.6552391438231993,0.5937493205812947,0.7082236344838427,0.6214902302999855,0.7082236344838427,0.6094742226909393,0.25,0.875,1.0,0,0,0,,7130.0,-1,,7130.0,2.0,-1,-1,2.0,0.0,0.4004879127793856,2,0.5666666666666667,0.7000000000000001,0.4779460951536163,0.125,0.30990319045507075,2019-02-05 22:00:00+00:00,2019-02-06 10:00:00+00:00,7128,2019-02-06 10:00:00+00:00,2019-02-06 18:00:00+00:00,accepted_breakout,0.129541021034885,4.807545743267932,0.0,0.44177983241837354,1,0,box_too_narrow_for_visible_structure,,,1248,7125,7129,2019-02-06 14:00:00+00:00,7128.0,2019-02-06 10:00:00+00:00,7128.0,2019-02-06 10:00:00+00:00,7128.0,2019-02-06 10:00:00+00:00
89,12,7212,7215,7218,4,3,1323.441,1332.478,1327.9595,9.037000000000035,2.136048559176953,0.6987724836082039,0.6987724836082039,0.6187383741821438,0.6187383741821438,2,2,1.0,1.0,0.0,0.0,0.46376009737744994,1.1454344713700875,0.9906140878068652,0.0,0.4877012016880325,0,0,0,0.9534875142931012,0,1,0.25,0.75,0.25,0.7623082206798043,0.72066112465916,0.6702203071939449,0.7623082206798043,0.6935740086368918,0.7623082206798043,0.6861071794782494,0.25,1.0,1.0,0,0,0,,7218.0,-1,,7218.0,3.0,-1,-1,3.0,0.4,0.38615818761102155,3,0.4166666666666667,0.5833333333333334,0.6127016459955679,0.1875,0.4188004114988919,2019-02-26 14:00:00+00:00,2019-02-27 02:00:00+00:00,7215,2019-02-27 02:00:00+00:00,2019-02-27 14:00:00+00:00,accepted_breakout,1.2434174254088903,3.224645793002925,0.0,0.6810611199035486,0,1,box_too_narrow_for_visible_structure,,,1263,7212,7215,2019-02-27 02:00:00+00:00,7215.0,2019-02-27 02:00:00+00:00,7215.0,2019-02-27 02:00:00+00:00,7215.0,2019-02-27 02:00:00+00:00
90,8,7214,7217,7218,4,3,1323.441,1329.822,1326.6315,6.380999999999858,1.5834872913131013,0.6034494258035421,0.6034494258035421,0.5535734859529274,0.5535734859529274,3,2,1.0,0.8936471696343544,0.3000000000001819,0.0744469812559519,0.43096693308259854,0.9010566298006228,0.6824306615124786,0.0,0.4405302226252825,1,0,1,0.92660502533562,0,1,0.75,0.375,0.375,0.7179569152618386,0.6238472287542937,0.5679940730115834,0.7179569152618386,0.6004165142108076,0.7179569152618386,0.6183999675222838,0.25,1.0,0.8936471696343544,0,0,0,,7218.0,-1,,7218.0,1.0,-1,-1,1.0,0.4,0.41038626440580983,1,0.7166666666666667,0.8333333333333334,0.3731065303807246,0.0625,0.20515163259518115,2019-02-26 22:00:00+00:00,2019-02-27 10:00:00+00:00,7217,2019-02-27 10:00:00+00:00,2019-02-27 14:00:00+00:00,accepted_breakout,0.0,4.349892820603612,0.0,0.4808953199186046,1,1,box_too_narrow_for_visible_structure,,,1265,7214,7217,2019-02-27 10:00:00+00:00,7217.0,2019-02-27 10:00:00+00:00,7217.0,2019-02-27 10:00:00+00:00,7217.0,2019-02-27 10:00:00+00:00
91,8,7338,7341,7343,4,3,1307.276,1319.236,1313.256,11.960000000000036,2.746826739709122,0.5924423124927685,0.5924423124927685,0.47394673174061863,0.47394673174061863,2,3,0.875,0.7342415600616062,0.8099999999999454,0.1860309079568756,0.34406354515050136,1.801743793730608,0.945082945978514,0.0,0.569110706256082,0,3,-1,0.38054626532886004,0,1,0.5,1.0,0.5,0.6072203301624094,0.6124256757833233,0.57329180450156,0.6072203301624094,0.6011265088419561,0.6072203301624094,0.6341975836400138,0.25,0.875,0.7342415600616062,1,0,2,2.0,7342.0,-1,,7342.0,1.0,-1,-1,2.0,0.6,0.4656983353094523,2,0.6166666666666667,0.7833333333333333,0.38650767826106636,0.20833333333333331,0.2895435862319332,2019-03-27 13:00:00+00:00,2019-03-28 01:00:00+00:00,7341,2019-03-28 01:00:00+00:00,2019-03-28 09:00:00+00:00,accepted_breakout,0.0,6.828242833396281,0.0,0.389373616356296,1,0,box_too_narrow_for_visible_structure,,,1292,7338,7341,2019-03-28 01:00:00+00:00,7341.0,2019-03-28 01:00:00+00:00,7341.0,2019-03-28 01:00:00+00:00,7341.0,2019-03-28 01:00:00+00:00
92,12,7367,7370,7372,7,3,1285.211,1294.273,1289.742,9.061999999999898,2.389388703991679,0.6686782415892981,0.6686782415892981,0.5938413132678493,0.5938413132678493,3,2,1.0,1.0,0.0,0.0,0.6434561906863793,0.8519217504521285,1.5374669535395504,0.0,0.5446868725176895,0,0,0,0.8394762009857988,0,1,0.75,0.16666666666666663,0.16666666666666663,0.7273316299194831,0.6921037816698284,0.639616245788823,0.7273316299194831,0.6715099040693737,0.7273316299194831,0.6941094654295652,0.25,1.0,1.0,0,0,0,,,0,,,,0,0,,0.4,0.4618938998471494,2,0.5666666666666667,0.8666666666666667,0.4135790953862156,0.041666666666666664,0.23131144051322058,2019-04-03 09:00:00+00:00,2019-04-03 21:00:00+00:00,7370,2019-04-03 21:00:00+00:00,2019-04-04 05:00:00+00:00,superseded,0.0,1.8398011142582462,0.3867329619139179,0.6733541388021991,1,0,box_too_narrow_for_visible_structure,,,1299,7367,7370,2019-04-03 21:00:00+00:00,7370.0,2019-04-03 21:00:00+00:00,7370.0,2019-04-03 21:00:00+00:00,7370.0,2019-04-03 21:00:00+00:00
93,8,7369,7372,7373,4,3,1288.34,1294.273,1291.3065,5.932999999999993,1.6282910393149623,0.6451078158373506,0.6451078158373506,0.5849541663908868,0.5849541663908868,2,2,1.0,1.0,0.0,0.0,0.475139052755805,0.854626377284086,0.7736646620308764,0.0,0.3918304941729724,1,0,1,0.8728580257317613,0,1,0.375,0.5,0.375,0.730649622319706,0.6710623811406867,0.6096192919453713,0.730649622319706,0.645804213639954,0.730649622319706,0.6676577220276542,0.25,1.0,1.0,0,0,0,,7373.0,-1,,7373.0,1.0,-1,-1,1.0,0.2,0.2477342402828638,1,0.7166666666666667,0.8333333333333334,0.43172263576569786,0.0625,0.21980565894142445,2019-04-03 17:00:00+00:00,2019-04-04 05:00:00+00:00,7372,2019-04-04 05:00:00+00:00,2019-04-04 09:00:00+00:00,accepted_breakout,0.029478759534410925,4.621409697842287,0.0,0.43928624315119613,1,1,box_too_narrow_for_visible_structure,,,1301,7369,7372,2019-04-04 05:00:00+00:00,7372.0,2019-04-04 05:00:00+00:00,7372.0,2019-04-04 05:00:00+00:00,7372.0,2019-04-04 05:00:00+00:00
94,12,7476,7479,7483,4,3,1278.065,1285.985,1282.025,7.919999999999845,2.3752688193197544,0.6881370079779888,0.6881370079779888,0.6123224799658585,0.6123224799658585,2,2,0.9166666666666666,0.7446500331322854,0.5960000000000036,0.17874497680740023,0.19204545454545302,1.9191092392458506,0.4561595800739037,0.0,0.4369279442148753,0,1,-1,0.8473905723905704,0,1,0.6666666666666667,0.25,0.25,0.6966868873373611,0.7045885465908315,0.6729497348457014,0.6966868873373611,0.6982652404545204,0.6966868873373611,0.7981771321166208,0.25,0.9166666666666666,0.7446500331322854,1,1,2,2.0,7480.0,-1,,7480.0,1.0,-1,-1,4.0,0.2,0.35348011363636284,4,0.4166666666666667,0.5595238095238095,0.5912944578231242,0.375,0.4838355192176858,2019-04-30 13:00:00+00:00,2019-05-01 01:00:00+00:00,7479,2019-05-01 01:00:00+00:00,2019-05-01 17:00:00+00:00,accepted_breakout,0.43868718838255905,2.2704798531159573,0.09694431950049454,0.551724137931023,1,1,box_too_narrow_for_visible_structure,,,1321,7476,7481,2019-05-01 09:00:00+00:00,7479.0,2019-05-01 01:00:00+00:00,7479.0,2019-05-01 01:00:00+00:00,7479.0,2019-05-01 01:00:00+00:00
95,12,7523,7526,7529,4,3,1279.581,1289.317,1284.449,9.736000000000104,2.6771563372403446,0.6574513590306476,0.6574513590306476,0.5967820781171566,0.5967820781171566,2,2,1.0,1.0,0.0,0.0,0.5589564502875872,1.1807425341115627,1.4964138031287817,0.0,0.4873466521086887,1,0,1,0.7847849904135935,0,1,0.8333333333333334,0.25,0.25,0.7289893752935409,0.6827046328521961,0.6247925264184839,0.7289893752935409,0.6625465436164332,0.7289893752935409,0.6977383995408056,0.25,1.0,1.0,0,0,0,,7529.0,1,7529.0,,3.0,1,1,3.0,0.6,0.4972435210679511,3,0.4166666666666667,0.5833333333333334,0.5332391659153184,0.1875,0.39893479147882954,2019-05-10 09:00:00+00:00,2019-05-12 21:00:00+00:00,7526,2019-05-12 21:00:00+00:00,2019-05-13 09:00:00+00:00,accepted_breakout,4.4405326034318415,0.872941175489589,0.0,0.5047959765645298,1,0,box_too_narrow_for_visible_structure,,,1327,7523,7526,2019-05-12 21:00:00+00:00,7526.0,2019-05-12 21:00:00+00:00,7526.0,2019-05-12 21:00:00+00:00,7526.0,2019-05-12 21:00:00+00:00
96,5,7625,7628,7629,4,3,1319.878,1328.71,1324.2939999999999,8.832000000000107,1.8868324239156002,0.6489817541176035,0.6489817541176035,0.5646964964331974,0.5646964964331974,2,2,1.0,0.9154612154786657,0.27700000000004366,0.05917714916493402,0.8203125000000034,0.33904020117232797,1.5477922227432723,2.0,0.622293223505434,3,0,1,0.555857487922701,0,1,0.6,0.4,0.4,0.7248410309275529,0.6685191645190833,0.6204328450907686,0.7248410309275529,0.6419349846636881,0.7248410309275529,0.6317709040987365,0.25,1.0,0.9154612154786657,0,0,0,,7629.0,1,7629.0,,1.0,1,1,1.0,0.4,0.5488254712975597,1,0.7166666666666667,0.8333333333333334,0.4814421328042821,0.0625,0.23223553320107052,2019-06-04 13:00:00+00:00,2019-06-05 01:00:00+00:00,7628,2019-06-05 01:00:00+00:00,2019-06-05 05:00:00+00:00,accepted_breakout,8.089218632530054,0.0,0.0,0.36654907657190694,1,1,box_too_narrow_for_visible_structure,,,1345,7625,7628,2019-06-05 01:00:00+00:00,7628.0,2019-06-05 01:00:00+00:00,7628.0,2019-06-05 01:00:00+00:00,7628.0,2019-06-05 01:00:00+00:00
97,12,7773,7776,7780,4,3,1385.574,1407.52,1396.547,21.945999999999913,2.84730713691745,0.6261718247941239,0.6261718247941239,0.5510456544575263,0.5510456544575263,2,2,1.0,1.0,0.0,0.0,0.34452747653330684,1.8663315941200063,0.9809755427974439,2.0,0.5067920248875782,0,0,0,0.9674048421883988,0,1,0.25,0.75,0.25,0.685964195646767,0.6553414387111464,0.5921025697674024,0.685964195646767,0.6334160954461291,0.685964195646767,0.672192460273548,0.25,1.0,1.0,1,0,2,2.0,7779.0,1,7779.0,,3.0,1,1,4.0,0.4,0.3550351720791295,4,0.3166666666666667,0.5595238095238095,0.5005178582851058,0.3333333333333333,0.4665580359998479,2019-07-09 09:00:00+00:00,2019-07-09 21:00:00+00:00,7776,2019-07-09 21:00:00+00:00,2019-07-10 13:00:00+00:00,accepted_breakout,6.833123040271508,0.0,0.0,0.5300710110622648,0,1,box_too_narrow_for_visible_structure,,,1366,7773,7777,2019-07-10 01:00:00+00:00,7776.0,2019-07-09 21:00:00+00:00,7776.0,2019-07-09 21:00:00+00:00,7776.0,2019-07-09 21:00:00+00:00
98,12,7941,7945,7946,4,4,1503.515,1527.822,1515.6685,24.30699999999979,2.332291090953595,0.7529660787358265,0.7529660787358265,0.5933953636706972,0.5933953636706972,3,4,1.0,1.0,0.0,0.0,0.14543135722219463,1.9931028321589808,0.33918825879461434,0.0,0.6615198742134841,0,2,-1,0.4939317891965198,0,1,0.41666666666666663,1.0,0.41666666666666663,0.7544432132639305,0.7671037384587902,0.7408541030440404,0.7544432132639305,0.7320278586593614,0.7544432132639305,0.6442236102911454,0.5,1.0,1.0,0,0,0,,7946.0,-1,,7946.0,1.0,-1,-1,1.0,0.6,0.595248351950919,1,0.55,0.85,0.5638451198715614,0.0625,0.2828362799678904,2019-08-16 09:00:00+00:00,2019-08-19 01:00:00+00:00,7945,2019-08-19 01:00:00+00:00,2019-08-19 05:00:00+00:00,accepted_breakout,2.095364519015426,4.430407525063807,0.0,0.8169596343225842,1,1,box_not_visually_real,,,1401,7941,7945,2019-08-19 01:00:00+00:00,7945.0,2019-08-19 01:00:00+00:00,7945.0,2019-08-19 01:00:00+00:00,7945.0,2019-08-19 01:00:00+00:00
