range_id,doctrine,mean_edge_mismatch_atr,inside_frac,chart_faithfulness_score,source_coherence_score,visual_plausibility_score,refresh_count
21,fixed_horizon_recompute,1.0209444444444291,0.8888888888888888,0.31937037037038063,0.6042500000000075,0.6041697530864257,2.0
21,bounded_continuity_refresh,1.0209444444444291,0.8888888888888888,0.31937037037038063,0.6042500000000075,0.6041697530864257,2.0
23,frozen,1.6010999999999966,0.6,0.0,1.0,0.5333333333333333,0.0
23,fixed_horizon_recompute,0.343100000000004,1.0,0.771266666666664,0.21375000000000455,0.6616722222222228,1.0
23,bounded_continuity_refresh,0.343100000000004,1.0,0.771266666666664,0.21375000000000455,0.6616722222222228,1.0
24,frozen,1.1477499999999736,0.5,0.23483333333335088,1.0,0.5782777777777836,0.0
24,fixed_horizon_recompute,1.1477499999999736,0.5,0.23483333333335088,1.0,0.5782777777777836,0.0
24,bounded_continuity_refresh,1.1477499999999736,0.5,0.23483333333335088,1.0,0.5782777777777836,0.0
25,frozen,0.846083333333335,1.0,0.43594444444444336,1.0,0.8119814814814811,0.0
25,fixed_horizon_recompute,0.2168333333333218,1.0,0.8554444444444521,0.7482999999999947,0.8679148148148156,1.0
25,bounded_continuity_refresh,0.2168333333333218,1.0,0.8554444444444521,0.7482999999999947,0.8679148148148156,1.0
26,frozen,1.282423076923036,0.9230769230769231,0.14505128205130935,1.0,0.6893760683760775,0.0
26,fixed_horizon_recompute,0.10438461538462189,1.0,0.9304102564102521,0.5984166666666699,0.8429423076923074,3.0
26,bounded_continuity_refresh,0.34034615384616,0.9230769230769231,0.77310256410256,0.8540416666666696,0.8500737179487174,2.0
27,frozen,0.6720000000000255,0.5,0.551999999999983,1.0,0.6839999999999943,0.0
27,fixed_horizon_recompute,0.6720000000000255,0.5,0.551999999999983,1.0,0.6839999999999943,0.0
27,bounded_continuity_refresh,0.6720000000000255,0.5,0.551999999999983,1.0,0.6839999999999943,0.0
29,frozen,1.4606250000000216,0.75,0.026249999999985563,1.0,0.5920833333333285,0.0
29,fixed_horizon_recompute,0.0,1.0,1.0,0.0,0.6666666666666666,1.0
29,bounded_continuity_refresh,1.4606250000000216,0.75,0.026249999999985563,1.0,0.5920833333333285,0.0
30,frozen,2.7152142857142314,0.8571428571428571,0.0,1.0,0.6190476190476191,0.0
30,fixed_horizon_recompute,0.6219999999999735,1.0,0.585333333333351,0.0,0.5284444444444504,2.0
30,bounded_continuity_refresh,1.3542142857142576,0.8571428571428571,0.09719047619049492,0.5527500000000032,0.5023611111111185,1.0
31,frozen,1.056250000000034,0.5,0.29583333333331063,1.0,0.5986111111111035,0.0
31,fixed_horizon_recompute,0.12787500000001728,0.75,0.9147499999999885,0.0,0.5549166666666628,1.0
31,bounded_continuity_refresh,1.056250000000034,0.5,0.29583333333331063,1.0,0.5986111111111035,0.0
32,frozen,1.8559999999999945,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
32,fixed_horizon_recompute,1.8559999999999945,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
32,bounded_continuity_refresh,1.8559999999999945,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
33,frozen,0.7825000000000273,0.75,0.4783333333333152,1.0,0.7427777777777718,0.0
33,fixed_horizon_recompute,0.18300000000002115,1.0,0.8779999999999859,0.20066666666665844,0.6928888888888814,1.0
33,bounded_continuity_refresh,0.18300000000002115,1.0,0.8779999999999859,0.20066666666665844,0.6928888888888814,1.0
35,frozen,0.8126666666666628,0.6666666666666666,0.45822222222222486,1.0,0.7082962962962971,0.0
35,fixed_horizon_recompute,0.8126666666666628,0.6666666666666666,0.45822222222222486,1.0,0.7082962962962971,0.0
35,bounded_continuity_refresh,0.8126666666666628,0.6666666666666666,0.45822222222222486,1.0,0.7082962962962971,0.0
37,frozen,2.3917352941176793,0.8823529411764706,0.0,1.0,0.6274509803921569,0.0
37,fixed_horizon_recompute,0.22797058823529343,0.9411764705882353,0.8480196078431377,0.7673750000000013,0.8521903594771247,2.0
37,bounded_continuity_refresh,2.3917352941176793,0.8823529411764706,0.0,1.0,0.6274509803921569,0.0
38,frozen,1.298425000000003,0.9,0.1343833333333313,1.0,0.6781277777777771,0.0
38,fixed_horizon_recompute,0.19014999999999987,0.95,0.8732333333333334,0.7492368421052633,0.8574900584795323,4.0
38,bounded_continuity_refresh,0.19014999999999987,0.95,0.8732333333333334,0.7492368421052633,0.8574900584795323,4.0
39,frozen,2.1066999999999325,0.8,0.0,1.0,0.6,0.0
39,fixed_horizon_recompute,1.0706999999999653,0.8,0.2862000000000231,0.035625000000038654,0.37394166666668727,1.0
39,bounded_continuity_refresh,1.0706999999999653,0.8,0.2862000000000231,0.035625000000038654,0.37394166666668727,1.0
41,frozen,0.3082499999999868,1.0,0.7945000000000088,1.0,0.9315000000000029,0.0
41,fixed_horizon_recompute,0.3082499999999868,1.0,0.7945000000000088,1.0,0.9315000000000029,0.0
41,bounded_continuity_refresh,0.3082499999999868,1.0,0.7945000000000088,1.0,0.9315000000000029,0.0
42,frozen,1.1486250000000098,0.75,0.23424999999999352,1.0,0.6614166666666645,0.0
42,fixed_horizon_recompute,0.1063750000000141,1.0,0.9290833333333239,0.0,0.6430277777777746,1.0
42,bounded_continuity_refresh,1.1486250000000098,0.75,0.23424999999999352,1.0,0.6614166666666645,0.0
44,frozen,1.9065000000000225,0.75,0.0,1.0,0.5833333333333334,0.0
44,fixed_horizon_recompute,0.2720000000000198,1.0,0.8186666666666534,0.0,0.6062222222222178,1.0
44,bounded_continuity_refresh,1.9065000000000225,0.75,0.0,1.0,0.5833333333333334,0.0
45,frozen,2.269599999999946,0.8,0.0,1.0,0.6,0.0
45,fixed_horizon_recompute,2.096599999999944,0.8,0.0,0.5628750000000196,0.4542916666666732,1.0
45,bounded_continuity_refresh,2.096599999999944,0.8,0.0,0.5628750000000196,0.4542916666666732,1.0
46,frozen,1.1508750000000276,0.75,0.23274999999998158,1.0,0.6609166666666605,0.0
46,fixed_horizon_recompute,0.7862500000000097,0.875,0.4758333333333269,0.7463571428571316,0.6990634920634862,2.0
46,bounded_continuity_refresh,0.7862500000000097,0.875,0.4758333333333269,0.7463571428571316,0.6990634920634862,2.0
47,frozen,0.9773333333333388,0.6666666666666666,0.3484444444444408,1.0,0.6717037037037025,0.0
47,fixed_horizon_recompute,0.2443333333333347,1.0,0.8371111111111103,0.7067999999999983,0.8479703703703695,1.0
47,bounded_continuity_refresh,0.2443333333333347,1.0,0.8371111111111103,0.7067999999999983,0.8479703703703695,1.0
48,frozen,2.407166666666702,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
48,fixed_horizon_recompute,2.407166666666702,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
48,bounded_continuity_refresh,2.407166666666702,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
49,frozen,1.5538750000000192,0.875,0.0,1.0,0.625,0.0
49,fixed_horizon_recompute,0.017812500000005116,1.0,0.9881249999999966,0.5269285714285681,0.8383511904761883,2.0
49,bounded_continuity_refresh,0.37356250000000557,0.875,0.7509583333333296,0.7302142857142826,0.7853908730158707,1.0
50,frozen,0.5587500000000034,0.75,0.6274999999999977,1.0,0.7924999999999992,0.0
50,fixed_horizon_recompute,0.08424999999999727,1.0,0.9438333333333352,0.3673333333333252,0.7703888888888869,1.0
50,bounded_continuity_refresh,0.08424999999999727,1.0,0.9438333333333352,0.3673333333333252,0.7703888888888869,1.0
51,frozen,3.9522307692307184,0.9230769230769231,0.0,1.0,0.6410256410256411,0.0
