range_id,confirm_age_until_first_material_mismatch,bars_until_active_box_looks_stale,post_confirm_boundary_pressure,post_confirm_internal_containment_decay,post_confirm_relevance_decay,failure_classification,frozen_chart_faithfulness_score,recompute_chart_faithfulness_score,bounded_refresh_chart_faithfulness_score,frozen_visual_plausibility_score,recompute_visual_plausibility_score,bounded_refresh_visual_plausibility_score,frozen_source_coherence_score,recompute_source_coherence_score,bounded_refresh_source_coherence_score
59,4.0,4.0,0.5229785763649125,0.16666666666666663,0.235333333333358,active_box_remained_truthful,0.6959999999999507,0.7606666666666418,0.7606666666666418,0.8431111111110946,0.8517333333333202,0.8517333333333202,1.0,0.9611999999999853,0.9611999999999853
60,3.0,3.0,0.5548479234213392,0.25,0.3124166666666687,active_box_remained_truthful,0.6251666666666627,1.0,1.0,0.7917222222222208,0.7501111111111084,0.7501111111111084,1.0,0.2503333333333254,0.2503333333333254
61,1.0,1.0,0.021220159151185025,0.0,0.23008333333333061,active_box_remained_truthful,0.5398333333333387,0.5398333333333387,0.5398333333333387,0.8466111111111129,0.8466111111111129,0.8466111111111129,1.0,1.0,1.0
63,1.0,1.0,0.5512820512820548,0.06666666666666665,0.6746444444444427,frozen_box_became_stale,0.0,0.7624888888888968,0.7624888888888968,0.6444444444444445,0.8562582010582066,0.8562582010582066,1.0,0.8062857142857232,0.8062857142857232
64,2.0,2.0,0.6695892190290555,0.25,0.38562499999999506,confirm_too_late,0.4787500000000099,0.8802500000000085,0.4787500000000099,0.74291666666667,0.6924166666666705,0.74291666666667,1.0,0.19700000000000273,1.0
65,2.0,2.0,0.44131586283802554,0.19999999999999996,0.7870333333333293,active_box_remained_truthful,0.0,0.09966666666668977,0.09966666666668977,0.6,0.4851805555555586,0.4851805555555586,1.0,0.5558749999999861,0.5558749999999861
66,3.0,3.0,0.6746201803764933,0.4,0.3375,frozen_box_became_stale,0.7250000000000001,0.9334000000000136,0.9334000000000136,0.775,0.9126750000000002,0.9126750000000002,1.0,0.8046249999999873,0.8046249999999873
67,4.0,4.0,0.38075058358771996,0.19999999999999996,0.17216666666665786,active_box_remained_truthful,0.8556666666666842,0.9359333333333325,0.9359333333333325,0.8852222222222282,0.88689444444445,0.88689444444445,1.0,0.9247500000000173,0.9247500000000173
69,1.0,1.0,0.4313417760857713,0.19999999999999996,0.6333333333333258,frozen_box_became_stale,0.0,0.6404333333333398,0.4690000000000055,0.6,0.6908111111111137,0.6955740740740769,1.0,0.5320000000000011,0.817722222222225
70,1.0,1.0,0.6882527147087765,0.5,0.9145833333333258,confirm_too_late,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0
71,2.0,2.0,0.3484334921216576,0.03125,0.48741145833333377,active_box_remained_truthful,0.05642708333333246,0.6128854166666666,0.35874999999999824,0.6750590277777775,0.6732843862007166,0.686975806451609,1.0,0.5319677419354834,0.764677419354829
72,2.0,2.0,0.3415502126551517,0.03125,0.38421875000001054,frozen_box_became_stale,0.2628124999999789,0.8642916666666617,0.8642916666666617,0.7438541666666597,0.8599547491039403,0.8599547491039403,1.0,0.7468225806451594,0.7468225806451594
73,2.0,2.0,0.6216492366871008,0.33333333333333337,0.4962222222222231,confirm_too_late,0.34088888888888713,0.34088888888888713,0.34088888888888713,0.6691851851851846,0.6691851851851846,0.6691851851851846,1.0,1.0,1.0
74,3.0,3.0,0.5549731415699082,0.25,0.4798749999999927,active_box_remained_truthful,0.29025000000001455,1.0,0.29025000000001455,0.6800833333333381,0.6666666666666666,0.6800833333333381,1.0,0.0,1.0
75,2.0,2.0,0.5338038253042884,0.1428571428571429,0.7133095238095388,active_box_remained_truthful,0.0,0.5098571428571426,0.0,0.6190476190476191,0.6240879120879138,0.45469230769230634,1.0,0.5766923076923132,0.864076923076919
76,2.0,2.0,0.6127392344497449,0.33333333333333337,0.4386111111110975,confirm_too_late,0.45611111111113833,0.45611111111113833,0.45611111111113833,0.7075925925926017,0.7075925925926017,0.7075925925926017,1.0,1.0,1.0
78,5.0,5.0,0.47896315668024564,0.16666666666666663,0.13074999999999665,active_box_remained_truthful,0.9051666666666733,0.9051666666666733,0.9051666666666733,0.9128333333333356,0.9128333333333356,0.9128333333333356,1.0,1.0,1.0
