range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,strength_repair_v1,strength_repair_v2,strength_repair_v3,strength_repair_v4,contract_bucket,later_meaningful_interaction_flag,later_nontrivial_breach_reclaim_flag,later_useful_event_overlap_flag,interpretive_value_flag,source_family_confluence_score
57,12,4889,4897,4898,4,8,1284.217,1291.37,1287.7935,7.152999999999793,1.8339432158937687,0.7020089371951393,0.7020089371951393,0.6048681011353177,0.6048681011353177,2,2,1.0,0.7633905219652595,0.6460000000001855,0.16562663462431837,0.5000699007409621,0.916843413957211,0.9170998019365577,0.0,0.4521554787141362,0,1,-1,0.7473787222144566,0,1,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.7256348840036704,0.7112105139022465,0.6904994612718044,0.7256348840036704,0.7052076132072764,0.7256348840036704,0.7226181156882802,0.25,1.0,0.7633905219652595,0,0,0,,4898.0,-1,,4898.0,1.0,-1,-1,1.0,0.6,0.44806185366365153,1,0.65,0.8796296296296297,0.4712711312616222,0.0625,0.23376685688947962,0.2335638260637052,0.3097533667922509,0.35429294187464766,0.14212796829088997,strong_false_positive,0,0,0,0,0.5
59,12,5146,5149,5154,4,3,1272.429,1284.005,1278.217,11.576000000000022,2.512636250664338,0.6843753860225914,0.6843753860225914,0.5864470864263386,0.5864470864263386,4,3,1.0,0.6192223669889185,1.227999999999838,0.26654434310775693,0.3477885279889282,1.6387701876741685,0.8738660629901697,1.0,0.39568773047112055,1,0,1,0.8756046993780453,0,1,0.8333333333333334,0.5833333333333333,0.5833333333333333,0.6992657398186386,0.6935480672851122,0.6742878771547063,0.6992657398186386,0.6933547977736426,0.6992657398186386,0.7311020999885759,0.5,1.0,0.6192223669889185,1,0,0,0.0,5153.0,-1,,5153.0,4.0,-1,0,5.0,0.6,0.3618827129169927,5,0.16666666666666669,0.4583333333333333,0.6541633583887263,0.3958333333333333,0.5770825062638483,0.5572872133534242,0.6583942443043177,0.6343119179623994,0.4725404938866951,fragile_but_plausible,1,1,0,1,1.0
60,16,5150,5159,5162,4,9,1270.663,1283.617,1277.1399999999999,12.95399999999995,2.8090574935682007,0.7189031538026699,0.7189031538026699,0.6150596048849369,0.6150596048849369,4,3,1.0,1.0,0.0,0.0,0.8233750192990567,0.49614972558932363,2.312907767978877,0.0,0.5567347378447179,2,0,1,0.6231794555092363,0,1,0.25,0.75,0.25,0.749988621491915,0.7356767734576343,0.6998396384622206,0.749988621491915,0.7142372031267967,0.749988621491915,0.7001531917942735,0.5,1.0,1.0,0,0,0,,5162.0,-1,,5162.0,3.0,-1,-1,3.0,0.2,0.4752489593406781,3,0.25,0.6666666666666666,0.5554926065482398,0.1875,0.42116481830372665,0.42591490893534406,0.4549539494817546,0.5336318722208924,0.30757400469666246,unclassified,1,0,0,1,1.0
61,5,5188,5191,5191,7,3,1273.051,1281.345,1277.1979999999999,8.294000000000096,1.7382458797138889,0.6178839909336514,0.6178839909336514,0.5237399418784399,0.5237399418784399,2,2,1.0,0.7535953083116401,0.8229999999998654,0.17248328418185194,0.49686520376176113,0.8745719865018058,0.8636738932120831,0.0,0.37353623789602153,1,1,0,0.9873804356562947,0,1,0.6,1.0,0.6,0.6924008837545635,0.6348676136232713,0.591695045023025,0.6924008837545635,0.609428873104382,0.6924008837545635,0.5940190482293176,0.25,1.0,0.7535953083116401,0,0,0,,,0,,,,0,0,,0.0,0.14965143991819232,0,0.6666666666666667,0.9166666666666666,0.4112011307142094,0.0,0.18613361601188566,0.1952416257255947,0.26036174786837385,0.31213691686360706,0.10400877144290059,strong_false_positive,0,0,0,0,1.0
63,16,5185,5191,5205,4,6,1267.669,1281.345,1274.507,13.67599999999993,2.8661985352021637,0.6471001341106248,0.6471001341106248,0.5532818531111902,0.5532818531111902,3,2,1.0,1.0,0.0,0.0,0.6948669201520896,0.8745719865018058,1.9916265487003582,0.0,0.5891737223208509,1,0,1,0.5988105683923255,0,1,0.875,0.4375,0.4375,0.701046921673104,0.6679381715939149,0.6209646966146645,0.701046921673104,0.6453019088056131,0.701046921673104,0.6487038076109066,0.25,1.0,1.0,5,4,8,1.6,5192.0,1,5192.0,5198.0,1.0,1,0,14.0,0.4,0.4017654202326285,14,0.35,0.35000000000000003,0.571884897076507,0.7916666666666667,0.6800545576024601,0.6072702552781796,0.9150739594594195,0.687648459887487,0.5651605518344355,durable_plausible,1,1,1,1,0.5
64,5,5388,5392,5395,4,4,1259.08,1265.239,1262.1595,6.1590000000001055,1.6913754975908362,0.6950547837861778,0.6950547837861778,0.5765816804072417,0.5765816804072417,2,2,1.0,1.0,0.0,0.0,0.6704010391297389,0.5574756064473604,1.133899891143476,2.0,0.38075382933525215,2,1,1,0.7718785517129365,0,1,1.0,0.6,0.6,0.7401933556729775,0.7140180148569776,0.671903498184818,0.7401933556729775,0.6806889042702085,0.7401933556729775,0.6316014952674506,0.25,1.0,1.0,1,0,2,2.0,5394.0,1,5394.0,,2.0,1,1,3.0,0.2,0.21584758249624394,3,0.4,0.6904761904761904,0.4855209290238787,0.2708333333333333,0.39807666082739823,0.3858819866851749,0.44590065109770494,0.49961121281555165,0.2858665136566287,unclassified,1,0,0,1,1.0
65,8,5668,5671,5675,4,3,1326.567,1340.915,1333.741,14.347999999999956,2.8551668752333224,0.6257902691526223,0.6257902691526223,0.5356031235589168,0.5356031235589168,2,2,0.875,0.978963484331568,0.07400000000006912,0.014725560967902415,0.6372316699191565,1.0357641194305325,1.8194027558027897,0.0,0.4809438077470403,0,0,0,0.9547904469844829,0,1,0.625,0.25,0.25,0.6617656215054013,0.6561099039142945,0.594565719576373,0.6617656215054013,0.6367218198382378,0.6617656215054013,0.6822578522098536,0.25,0.875,0.978963484331568,1,0,2,2.0,5674.0,-1,,5674.0,3.0,-1,-1,4.0,0.4,0.28654995360457275,4,0.3166666666666667,0.5595238095238095,0.49900637014743804,0.3333333333333333,0.46618016396543094,0.43580793543260005,0.48154146154323235,0.533411533289412,0.3456864393547022,fragile_but_plausible,1,1,1,1,0.5
66,12,5837,5840,5844,4,3,1318.825,1335.346,1327.0855000000001,16.520999999999958,2.9433663949510906,0.5869863548375782,0.5869863548375782,0.5220585310064575,0.5220585310064575,2,2,1.0,1.0,0.0,0.0,0.8578173234065771,0.4184957122292798,2.524870682721811,0.0,0.7752080768997088,3,0,1,0.34388555979258517,0,1,0.9166666666666666,0.6666666666666667,0.6666666666666667,0.6911980868949998,0.613274015537762,0.5482308427202364,0.6911980868949998,0.583033644675353,0.6911980868949998,0.5921585068607682,0.25,1.0,1.0,1,0,0,0.0,5843.0,1,5843.0,,3.0,1,0,4.0,0.8,0.7707946350687306,4,0.3166666666666667,0.5595238095238095,0.48204492404786725,0.3333333333333333,0.4619398024405382,0.4353378558235159,0.48172657073059166,0.5361962019118728,0.3410290029374903,fragile_but_plausible,1,1,0,1,1.0
67,12,5961,5964,5968,4,3,1307.734,1318.872,1313.3029999999999,11.138000000000147,2.513582883494285,0.680040687645356,0.680040687645356,0.6442949095416822,0.6442949095416822,2,2,1.0,1.0,0.0,0.0,0.5609624708206109,1.103557218556935,1.41002566493735,1.0,0.4314243603025171,0,0,0,0.9698928592805389,0,1,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.778114335293371,0.7020931628741004,0.6458248248295283,0.778114335293371,0.679014436641821,0.778114335293371,0.7133681181073148,0.25,1.0,1.0,1,0,2,2.0,5967.0,-1,,5967.0,3.0,-1,-1,4.0,0.2,0.4156601967752315,4,0.3166666666666667,0.5595238095238095,0.5646955993280222,0.3333333333333333,0.482602471260577,0.4622053794971453,0.515375020138336,0.5686941938334054,0.3637240174248867,fragile_but_plausible,1,1,0,1,1.0
69,16,5965,5972,5981,4,7,1306.001,1318.872,1312.4365,12.871000000000095,2.6175387166078194,0.6966789381570023,0.6966789381570023,0.5677846791783949,0.5677846791783949,2,2,0.9375,1.0,0.0,0.0,0.38077849428949045,1.620836265353449,0.9967024512543707,0.0,0.4641635527227906,0,0,0,0.9422215316085203,0,1,0.25,0.8125,0.25,0.7331351512858566,0.7155242819543012,0.6750158552666546,0.7331351512858566,0.6810364322237885,0.7331351512858566,0.6241018866770313,0.25,0.9375,1.0,2,1,4,2.0,5973.0,-1,5980.0,5973.0,1.0,-1,1,9.0,0.2,0.27364866167985513,9,0.35,0.5625,0.5447040929600347,0.6041666666666666,0.565134356573342,0.5326415154528407,0.8272855433747872,0.6261582287572377,0.4654594414341883,fragile_but_plausible,1,1,1,1,1.0
70,12,6070,6074,6075,4,4,1296.292,1306.422,1301.357,10.13000000000011,2.247220185147266,0.7143109037275854,0.7143109037275854,0.5934625688742801,0.5934625688742801,2,2,1.0,0.8276000873332667,0.543999999999869,0.12067993886671324,0.3117472852912236,1.5466553929759648,0.700564792171301,0.0,0.685956884294879,0,2,-1,0.5770977295162973,0,1,0.6666666666666667,0.75,0.6666666666666667,0.744910369292616,0.7225024724104699,0.7025340715435577,0.744910369292616,0.7022445848092325,0.744910369292616,0.6611498361381064,0.25,1.0,0.8276000873332667,0,0,0,,6075.0,-1,,6075.0,1.0,-1,-1,1.0,0.4,0.44432844102675717,1,0.65,0.85,0.532585861830654,0.0625,0.2550214654576635,0.24777767521987024,0.3294017171879117,0.3704365258408041,0.1564831552702099,strong_false_positive,0,0,0,0,1.0
71,5,6094,6097,6128,4,3,1293.565,1301.752,1297.6585,8.186999999999898,1.901944781082094,0.6772683645717827,0.6772683645717827,0.6186418832905621,0.6186418832905621,2,2,1.0,1.0,0.0,0.0,0.45938683278368314,1.0282163919713352,0.8737283891107588,0.0,0.5221456853683234,0,0,0,0.8236635316151547,0,1,0.4,0.4,0.4,0.7335459144078964,0.7025462256964569,0.6470305532532783,0.7335459144078964,0.683245613522083,0.7335459144078964,0.7389301545173613,0.25,1.0,1.0,6,6,12,2.0,6099.0,1,6099.0,6103.0,2.0,1,1,31.0,0.0,0.18984557693485768,31,0.3666666666666667,0.19607843137254902,0.6926816886696334,0.8333333333333333,0.7522880692262318,0.6492044259295267,0.9719343342535663,0.7206666666666667,0.6158546788679651,unclassified,1,1,0,1,1.0
72,12,6093,6097,6128,4,4,1290.231,1301.752,1295.9915,11.520999999999958,2.676475610461341,0.6638590132355715,0.6638590132355715,0.549673443727634,0.549673443727634,2,3,1.0,0.7653640858808806,0.7070000000001073,0.16424513988338357,0.6158319590313387,1.0282163919713352,1.6482592184900058,0.0,0.5667086563362721,0,0,0,0.8359228076266507,0,1,0.75,0.25,0.25,0.6502118989279263,0.678273076776254,0.6539347381506213,0.6502118989279263,0.681341746221543,0.6502118989279263,0.7422931012539637,0.25,1.0,0.7653640858808806,2,2,4,2.0,6099.0,1,6099.0,,2.0,1,1,31.0,0.4,0.3304998700365226,31,0.3,0.20476190476190478,0.6083700749112806,0.8333333333333333,0.7428068044421059,0.6515805295912892,0.9479458579844752,0.7160127000921286,0.6239276681017522,durable_plausible,1,1,0,1,0.5
73,12,6500,6503,6505,4,3,1191.146,1202.238,1196.692,11.092000000000098,2.665787505317551,0.6242315811009329,0.6242315811009329,0.5373506974754667,0.5373506974754667,2,2,1.0,0.5873117586173222,1.2019999999999982,0.2888817689678744,0.3680129823296133,1.6847430952286189,0.9810444100889317,0.0,0.5689384957778162,0,1,-1,0.6774251712946319,0,1,0.16666666666666663,0.6666666666666667,0.16666666666666663,0.644767621928141,0.6358313781312342,0.6112019850631266,0.644767621928141,0.643280715743479,0.644767621928141,0.722336852328673,0.25,1.0,0.5873117586173222,0,0,0,,6505.0,-1,,6505.0,2.0,-1,-1,2.0,0.4,0.4880065638610574,2,0.5666666666666667,0.7000000000000001,0.4937588130799582,0.125,0.3138563699366562,0.27894337009920195,0.34968270563436904,0.3910186256609589,0.1923976368486209,weak_false_positive,0,0,0,0,0.5
74,8,6506,6509,6512,4,3,1187.657,1199.199,1193.4279999999999,11.542000000000144,2.590356268535578,0.6634351894544757,0.6634351894544757,0.6169999365488552,0.6169999365488552,2,2,0.875,1.0,0.0,0.0,0.5848206549991263,1.0754624188895086,1.5148938496460695,0.0,0.5041065068969761,2,0,1,0.6671865072488892,0,1,0.875,0.625,0.625,0.7473225930722222,0.6877309032022948,0.6296048053274683,0.7473225930722222,0.668805590514766,0.7473225930722222,0.7093565355143037,0.25,0.875,1.0,0,0,0,,6512.0,1,6512.0,,3.0,1,1,3.0,0.2,0.13396861998074913,3,0.4166666666666667,0.5833333333333334,0.5499314868200812,0.1875,0.40310787170502027,0.37111674667324634,0.43237557431992446,0.4873900101000001,0.26922007013758437,unclassified,1,0,0,1,1.0
75,8,6561,6564,6577,4,3,1194.324,1204.101,1199.2125,9.777000000000044,2.4476778595950806,0.6972056090513519,0.6972056090513519,0.6484671812623142,0.6484671812623142,2,2,1.0,1.0,0.0,0.0,0.5468957758003433,1.1090531776625052,1.3386246819325753,0.0,0.46964681738975544,0,0,0,0.955235075517352,0,1,0.5,0.25,0.25,0.7382149831813918,0.7228807302267504,0.6690770074032109,0.7382149831813918,0.6881840232140108,0.7382149831813918,0.7973765457583849,0.25,1.0,1.0,2,2,4,2.0,6571.0,-1,,6571.0,7.0,-1,-1,13.0,0.2,0.46964681738975544,13,0.2666666666666667,0.0625,0.7023696423855614,1.0,0.859759077263057,0.760715477489998,1.0,0.7586666666666666,0.75034701319953,durable_plausible,1,1,0,1,1.0
76,5,6734,6737,6739,4,3,1229.666,1236.354,1233.01,6.688000000000102,1.4696439491134032,0.6152367037588999,0.6152367037588999,0.5786075294825467,0.5786075294825467,2,2,1.0,1.0,0.0,0.0,0.29814593301437076,1.031475582706063,0.43816836640733997,2.0,0.5452801632860903,0,0,0,0.7729266347687642,0,1,0.4,0.4,0.4,0.7327466208540611,0.6403024197143433,0.5753799156211018,0.7327466208540611,0.6161536109444621,0.7327466208540611,0.6494033840514203,0.25,1.0,1.0,0,0,0,,6739.0,-1,,6739.0,2.0,-1,-1,2.0,0.2,0.5151617247058128,2,0.5666666666666667,0.7000000000000001,0.44288024662437236,0.125,0.30113672832275973,0.27764238620028586,0.35019171296339535,0.3993100076055776,0.18075301694512558,weak_false_positive,0,0,1,1,1.0
