row_idx,timestamp,bull_active_member_count,bull_untouched_count,bull_touched_only_count,bull_partial_fill_count,bull_any_fill_count,bull_max_fill_pct,bull_mean_fill_pct_active_members,bull_historical_untouched_count,bull_historical_touched_only_count,bull_historical_partial_fill_count,bull_historical_max_fill_pct,bull_historical_mean_fill_pct_active_members,bear_active_member_count,bear_untouched_count,bear_touched_only_count,bear_partial_fill_count,bear_any_fill_count,bear_max_fill_pct,bear_mean_fill_pct_active_members,bear_historical_untouched_count,bear_historical_touched_only_count,bear_historical_partial_fill_count,bear_historical_max_fill_pct,bear_historical_mean_fill_pct_active_members,total_active_member_count,total_partial_fill_count,total_touched_only_count,total_untouched_count,total_historical_partial_fill_count
17787,2026-01-28 06:00:00+00:00,9,9,0,0,0,0.0,0.0,7,0,2,0.9698410224438981,0.11031429383261801,0,0,0,0,0,,,0,0,0,,,9,0,0,9,2
17788,2026-01-28 10:00:00+00:00,9,8,0,1,1,0.5016016581873004,0.055733517576366715,6,0,3,0.9698410224438981,0.16604781140898472,0,0,0,0,0,,,0,0,0,,,9,1,0,8,3
17789,2026-01-28 14:00:00+00:00,9,8,0,1,1,0.6074995289240409,0.06749994765822677,6,0,3,0.9698410224438981,0.1778142414908448,0,0,0,0,0,,,0,0,0,,,9,1,0,8,3
17790,2026-01-28 18:00:00+00:00,9,8,0,1,1,0.6074995289240409,0.06749994765822677,6,0,3,0.9698410224438981,0.1778142414908448,0,0,0,0,0,,,0,0,0,,,9,1,0,8,3
17791,2026-01-28 22:00:00+00:00,9,8,0,1,1,0.6074995289240409,0.06749994765822677,6,0,3,0.9698410224438981,0.17781424149084477,0,0,0,0,0,,,0,0,0,,,9,1,0,8,3
17792,2026-01-29 02:00:00+00:00,9,9,0,0,0,0.0,0.0,6,0,3,0.9698410224438981,0.17781424149084477,0,0,0,0,0,,,0,0,0,,,9,0,0,9,3
17793,2026-01-29 06:00:00+00:00,9,8,0,1,1,0.15556174370918094,0.017284638189908993,5,0,4,0.9698410224438981,0.19509887968075376,0,0,0,0,0,,,0,0,0,,,9,1,0,8,4
17794,2026-01-29 10:00:00+00:00,9,8,0,1,1,0.17133309705837735,0.01903701078426415,5,0,4,0.9698410224438981,0.1968512522751089,0,0,0,0,0,,,0,0,0,,,9,1,0,8,4
17795,2026-01-29 14:00:00+00:00,5,5,0,0,0,0.0,0.0,3,0,2,0.9698410224438981,0.19856572889871243,0,0,0,0,0,,,0,0,0,,,5,0,0,5,2
17796,2026-01-29 18:00:00+00:00,5,5,0,0,0,0.0,0.0,3,0,2,0.9698410224438981,0.19856572889871243,1,1,0,0,0,0.0,0.0,1,0,0,0.0,0.0,6,0,0,6,2
17797,2026-01-29 22:00:00+00:00,5,5,0,0,0,0.0,0.0,3,0,2,0.9698410224438981,0.19856572889871243,1,0,0,1,1,0.5579944289693585,0.5579944289693585,0,0,1,0.5579944289693585,0.5579944289693585,6,1,0,5,3
17798,2026-01-30 02:00:00+00:00,5,5,0,0,0,0.0,0.0,3,0,2,0.9698410224438981,0.19856572889871243,1,0,0,1,1,0.5579944289693585,0.5579944289693585,0,0,1,0.5579944289693585,0.5579944289693585,6,1,0,5,3
17799,2026-01-30 06:00:00+00:00,2,2,0,0,0,0.0,0.0,1,0,1,0.02298762204966394,0.01149381102483197,2,1,0,1,1,0.5579944289693585,0.27899721448467923,1,0,1,0.5579944289693585,0.27899721448467923,4,1,0,3,2
17800,2026-01-30 10:00:00+00:00,2,2,0,0,0,0.0,0.0,1,0,1,0.02298762204966394,0.01149381102483197,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,4,0,0,4,2
17801,2026-01-30 14:00:00+00:00,1,1,0,0,0,0.0,0.0,1,0,0,0.0,0.0,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,3,0,0,3,1
17802,2026-01-30 18:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
