confirm_idx,breach_idx,side_label,source_cluster_id_raw,family,level,strength,age_bars,origin_idx,active_start_idx,sweep_class,tradeable,selectivity_class,micro_interaction,standard_liquidity,displacement_confirmed,quality,pre_breach_distance_atr,followed_by_displacement,followed_by_bos,followed_by_choch,followthrough_available,penetration_atr,active_source_count,nearest_source_distance_atr_signed,nearest_source_distance_atr_abs,session_source_type,session_source_scope,breach_session_phase,historical_max_distance_atr,source_level_key,source_instance_key,family_group
14857,14856,below,14856202.0,previous_day_low,1951.34,0.5,2.0,14854,14854,4,1,tradeable_sweep_candidate,0,1,0,0.5747051874495007,1.0535242748665568,0,0,0,1,0.6420656827760105,9.0,-0.009363457873808394,0.009363457873808394,,,London,1.0535242748665568,previous_day_low|below|1951.34,previous_day_low|below|1951.34|14854,prior_period
14869,14869,below,14869201.0,session_low,1975.32,0.45,4.0,14865,14865,3,1,tradeable_sweep_candidate,0,1,1,0.6373135725812251,0.24310728958466937,0,1,0,1,0.7831155414874722,8.0,0.27978454713825757,0.27978454713825757,prev_ny_low,completed_previous_session_only,Overlap,0.4170371139109459,session_low|below|1975.32,session_low|below|1975.32|14865,session
14872,14871,above,14871102.0,session_high,1980.93,0.45,3.0,14868,14868,4,0,displacement_confirmed_sweep,0,1,1,0.5508071857306631,0.5686541710843772,0,0,1,1,0.6247385239732972,10.0,-0.09392921863934003,0.09392921863934003,prev_asia_high,completed_previous_session_only,Dead,0.5686541710843772,session_high|above|1980.93,session_high|above|1980.93|14868,session
14875,14875,below,14875201.0,support,1969.75,0.6,5.0,3101,14870,3,0,standard_liquidity_sweep,0,1,0,0.6619675292579077,0.873024447534253,0,0,0,1,0.5067594506788149,9.0,0.10696663692260401,0.10696663692260401,,,Overlap,2.2237196412755984,support|below|1969.75,support|below|1969.75|14870,s_r
14882,14881,above,14881101.0,previous_week_high,1963.745,0.55,27.0,14854,14854,4,0,standard_liquidity_sweep,0,1,0,0.44164538506042406,0.3041610053008665,0,0,0,1,0.2270301293177269,10.0,0.12944105880500845,0.12944105880500845,,,Overlap,1.7743752670882873,previous_week_high|above|1963.745,previous_week_high|above|1963.745|14854,prior_period
14886,14885,below,14885201.0,previous_day_low,1959.16,0.5,1.0,14884,14884,4,0,micro_interaction_sweep,1,0,0,0.5204005405738311,0.13887904618596772,0,0,0,1,0.47807125561759123,10.0,0.9493985593533847,0.9493985593533847,,,Asia,0.13887904618596772,previous_day_low|below|1959.16,previous_day_low|below|1959.16|14884,prior_period
14889,14888,below,14888201.0,swing_low,1956.8,0.4,5.0,14881,14883,4,0,standard_liquidity_sweep,0,1,0,0.5176955606047594,0.3490956039073099,0,0,0,1,0.5019556060475943,10.0,-0.3178551217936205,0.3178551217936205,,,NY,1.3030813691519918,swing_low|below|1956.8,swing_low|below|1956.8|14883,swing
14893,14892,below,14892202.0,session_low,1959.43,0.5,5.0,14887,14887,4,0,displacement_confirmed_sweep,0,1,1,0.5814821953029806,0.434130858466452,0,0,1,1,0.8898219530298057,9.0,0.08461499706525806,0.08461499706525806,prev_asia_low,completed_previous_session_only,London,0.4838624864254899,session_low|below|1959.43,session_low|below|1959.43|14887,session
14894,14893,below,14893202.0,previous_day_low,1953.46,0.65,4.0,14888,14889,4,0,displacement_confirmed_sweep,0,1,1,0.4491203295222225,0.5118708224786909,0,0,1,1,0.1832174904722228,9.0,0.8142669913758239,0.8142669913758239,,,Overlap,1.3630775341097365,previous_day_low|below|1953.46,previous_day_low|below|1953.46|14889,prior_period
14898,14897,above,14897102.0,swing_high,1967.905,0.4,9.0,14886,14888,4,1,tradeable_sweep_candidate,0,1,0,0.546149249608557,0.4549384682178544,0,0,0,1,0.9335940543774327,10.0,0.11645304993732916,0.11645304993732916,,,Asia,1.9867823688471176,swing_high|above|1967.905,swing_high|above|1967.905|14888,swing
